Coin on file:	ATOM
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,0000036.81,00000038.0,000032.507,02889929.4,000034.045,88410318.2
2021-09-18T04:00:01.983Z,-USD,000037.223,00000038.0,000032.507,02802728.4,000033.982,88469924.5
2021-09-18T05:00:02.052Z,-USD,000037.082,0000037.17,000032.507,02691013.5,000034.409,88521691.2
2021-09-18T06:00:02.083Z,-USD,000036.848,000036.885,000032.507,02674539.0,0000035.04,88632398.6
2021-09-18T07:00:02.385Z,-USD,000035.959,000036.245,000032.507,02666699.1,000035.411,88733466.3
2021-09-18T08:00:02.626Z,-USD,000035.385,000036.163,000032.507,02650900.8,000035.998,88798015.5
2021-09-18T09:00:01.852Z,-USD,000035.546,0000036.19,000032.507,02635579.3,000035.323,88855595.5
2021-09-18T10:00:01.968Z,-USD,000034.433,0000036.19,000032.507,02619402.0,000035.978,88944214.4
2021-09-18T11:00:02.344Z,-USD,000034.002,000036.328,000032.507,02512819.3,000035.695,89019853.3
2021-09-18T12:00:02.46Z,-USD,000033.627,0000036.75,000032.507,02425200.4,000036.057,89119625.8
2021-09-18T13:00:02.675Z,-USD,000034.419,000038.328,000032.507,02521082.2,000038.181,89395146.1
2021-09-18T14:00:01.88Z,-USD,0000034.54,000038.776,000032.507,02660759.8,000038.128,89681688.1
2021-09-18T14:27:57.952Z,-USD,000035.064,000039.555,000032.507,02720178.8,000039.503,89932481.6
2021-09-18T14:28:37.246Z,-USD,000035.064,000039.671,000032.507,02727805.8,000039.509,89940108.6
2021-09-18T14:31:17.504Z,-USD,000035.064,000039.752,000032.507,02749972.2,000039.435,89962275.0
2021-09-18T15:00:02.118Z,-USD,000035.064,000039.752,000032.507,02948038.8,000038.956,90160341.6
2021-09-18T16:00:02.322Z,-USD,0000034.06,000039.752,000032.507,02989554.8,000039.329,90359652.8
2021-09-18T17:00:02.107Z,-USD,000034.088,000040.191,000032.507,03153447.7,000039.342,90645040.0
2021-09-18T18:00:07.221Z,-USD,000033.548,000040.191,000032.507,03237569.7,000038.782,90831071.0
2021-09-18T19:00:01.787Z,-USD,000033.969,000040.191,000032.507,03278067.5,000039.495,90994145.3
2021-09-18T20:00:02.515Z,-USD,000034.019,000040.972,000032.507,03423588.8,000040.926,91210653.5
2021-09-18T21:00:02.121Z,-USD,000033.557,000041.471,000032.507,03789923.2,000040.868,91644459.7
2021-09-18T22:00:02.335Z,-USD,0000033.45,000041.471,000032.507,03912134.5,000040.507,91878923.4
2021-09-18T23:00:01.768Z,-USD,000032.635,000041.471,000032.533,03966726.0,000040.451,92060894.5
2021-09-19T00:00:02.394Z,-USD,000033.466,000041.471,000032.692,04122446.0,000040.668,92317483.5
2021-09-19T01:00:02.002Z,-USD,00000033.5,000041.471,000033.177,04279300.8,000038.893,90509576.7
2021-09-19T02:00:02.019Z,-USD,000033.705,000041.471,000033.599,04374254.0,000039.689,90684567.7
2021-09-19T03:00:02.664Z,-USD,000034.014,000041.471,000033.825,04440717.8,000040.179,90832182.4
2021-09-19T04:00:02.654Z,-USD,000033.854,000041.471,0000033.83,04590257.2,000039.336,91043649.6
2021-09-19T05:00:02.407Z,-USD,000034.423,000041.471,000034.046,04674929.6,000039.147,91177773.3
2021-09-19T06:00:02.187Z,-USD,00000035.2,000041.471,000034.827,04622581.2,000039.305,91236369.5
2021-09-19T07:00:02.005Z,-USD,000035.351,000041.471,000034.924,04580827.3,000039.193,91295391.3
2021-09-19T08:00:02.143Z,-USD,000035.968,000041.471,000034.924,04593009.2,000039.382,91372114.8
2021-09-19T09:00:01.925Z,-USD,000035.294,000041.471,000034.924,04602534.4,0000038.76,91439243.8
2021-09-19T10:00:01.868Z,-USD,000035.929,000041.471,000035.536,04556149.9,000039.322,91482438.3
2021-09-19T11:00:02.48Z,-USD,000035.706,000041.471,000035.536,04563389.4,0000039.08,91564626.9
2021-09-19T12:00:02.523Z,-USD,000036.097,000041.471,000036.069,04614144.3,000038.249,91715125.5
2021-09-19T13:00:02.684Z,-USD,000038.165,000041.471,000037.483,04446041.9,0000038.59,91823772.2
2021-09-19T14:00:02.607Z,-USD,000038.157,000041.471,00000037.7,04293376.7,000039.579,91956159.0
2021-09-19T15:00:02.684Z,-USD,000038.998,000041.471,00000037.7,03955440.2,000040.687,92098957.4
2021-09-19T16:00:02.634Z,-USD,0000039.27,000043.669,00000037.7,04402404.6,00000043.5,92746751.5
2021-09-19T17:00:02.62Z,-USD,000039.262,000044.351,00000037.7,04597545.2,000043.271,93223934.0
2021-09-19T18:00:01.7Z,-USD,000038.706,000044.351,00000037.7,04579873.2,000042.741,93392479.0
2021-09-19T19:00:01.839Z,-USD,000039.603,000044.351,00000037.7,04581763.4,000043.297,93559541.9
2021-09-19T20:00:01.841Z,-USD,000040.841,000044.351,00000037.7,04497005.4,000042.486,93690043.2
2021-09-19T21:00:02.299Z,-USD,000040.837,000044.351,00000037.7,04221339.4,000042.329,93847315.5
2021-09-19T22:00:02.24Z,-USD,000040.533,000044.351,00000037.7,04045865.7,000042.753,93908127.1
2021-09-19T23:00:02.396Z,-USD,000040.455,000044.351,00000037.7,04042865.2,0000041.77,94085068.6
2021-09-20T00:00:01.696Z,-USD,000040.765,000044.691,00000037.7,04089019.7,000044.322,94388411.3
2021-09-20T01:00:01.876Z,-USD,000038.887,00000044.8,00000037.7,04200100.5,000041.991,91387578.7
2021-09-20T02:00:02.151Z,-USD,000039.715,00000044.8,00000037.7,04178874.5,000041.918,91538550.7
2021-09-20T03:00:02.274Z,-USD,000040.203,00000044.8,00000037.7,04361496.3,0000040.41,91869041.2
2021-09-20T04:00:02.153Z,-USD,000039.345,00000044.8,00000037.7,04498633.9,000040.695,92220346.5
2021-09-20T05:00:01.965Z,-USD,000039.108,00000044.8,00000037.7,04661623.1,00000042.2,92514643.1
2021-09-20T06:00:01.919Z,-USD,000039.271,00000044.8,00000037.7,04883976.0,000041.848,92795323.6
2021-09-20T07:00:02.042Z,-USD,000039.245,00000044.8,00000037.7,04985399.9,000040.913,92956111.4
2021-09-20T08:00:02.121Z,-USD,000039.389,00000044.8,00000037.7,05210496.4,000039.836,93257559.9
2021-09-20T09:00:01.892Z,-USD,000038.799,00000044.8,00000037.7,05339855.2,000041.161,93454467.7
2021-09-20T10:00:01.701Z,-USD,000039.253,00000044.8,00000037.7,05511428.9,000039.419,93669016.2
2021-09-20T11:00:02.361Z,-USD,000039.086,00000044.8,00000037.7,05682221.4,000038.585,93922119.8
2021-09-20T12:00:02.361Z,-USD,000038.179,00000044.8,000037.267,05869307.9,00000038.2,94259630.7
2021-09-20T13:00:02.403Z,-USD,000038.672,00000044.8,000035.775,06489163.0,000037.418,94988355.4
2021-09-20T14:00:02.73Z,-USD,000039.622,00000044.8,000035.775,07084871.8,000039.439,95716427.1
2021-09-20T15:00:01.832Z,-USD,000040.734,00000044.8,000035.775,07237521.7,000037.858,96012889.2
2021-09-20T16:00:02.357Z,-USD,000043.469,00000044.8,000035.775,06928473.9,000037.829,96366738.0
2021-09-20T17:00:02.536Z,-USD,000043.369,00000044.8,000035.775,06897843.0,000036.742,96798324.2
2021-09-20T18:00:02.544Z,-USD,000042.773,00000044.8,000035.775,06907795.5,000037.214,96975590.1
2021-09-20T19:00:02.469Z,-USD,000043.385,00000044.8,000034.891,07271659.2,000034.995,97506946.6
2021-09-20T20:00:02.434Z,-USD,0000042.51,00000044.8,0000034.13,08069239.0,000035.257,98435370.9
2021-09-20T21:00:02.46Z,-USD,000042.357,00000044.8,000033.748,08364193.0,000034.563,98886594.5
2021-09-20T22:00:02.44Z,-USD,000042.715,00000044.8,000033.748,08528181.1,000034.916,99111557.0
2021-09-20T23:00:02.52Z,-USD,000041.764,00000044.8,000033.748,08555912.0,000034.619,99316161.9
2021-09-21T00:00:02.956Z,-USD,000044.295,00000044.8,000033.231,08591570.9,000033.766,99656470.8
2021-09-21T01:00:02.191Z,-USD,000041.985,000043.487,0000031.33,08999831.4,000032.365,98112921.8
2021-09-21T02:00:01.777Z,-USD,000041.903,000043.487,0000031.33,09495799.0,000035.737,98761352.6
2021-09-21T03:00:02.103Z,-USD,000040.284,000043.487,0000031.33,09508756.2,000035.425,99105054.4
2021-09-21T04:00:02.34Z,-USD,000040.589,000043.487,0000031.33,09325687.2,000034.436,99271589.0
2021-09-21T05:00:02.612Z,-USD,000042.189,000043.487,0000031.33,09189692.8,000034.546,99431198.8
2021-09-21T06:00:02.518Z,-USD,000041.848,000042.124,0000031.33,09152052.4,000034.598,99672903.3
2021-09-21T07:00:02.272Z,-USD,000040.881,000041.399,0000031.33,09179934.0,000035.026,99862097.6
2021-09-21T08:00:02.419Z,-USD,000039.893,000041.351,0000031.33,08997212.8,000036.039,99980300.1
2021-09-21T09:00:02.545Z,-USD,000041.075,000041.075,0000031.33,09068834.0,000036.643,100249154.3
2021-09-21T10:00:02.395Z,-USD,000039.518,0000040.24,0000031.33,08977499.4,000036.142,100372942.5
2021-09-21T11:00:02.6Z,-USD,000038.613,0000039.75,0000031.33,08921804.2,000036.307,100570648.6
2021-09-21T12:00:02.507Z,-USD,000038.146,0000039.75,0000031.33,08735140.3,000036.376,100720186.6
2021-09-21T13:00:02.679Z,-USD,000037.527,0000039.75,0000031.33,08235483.7,000035.128,100950420.5
2021-09-21T14:00:01.857Z,-USD,000039.321,000039.423,0000031.33,07665045.5,000035.396,101108674.3
2021-09-21T15:00:02.144Z,-USD,0000037.87,000038.466,0000031.33,07617774.3,000034.092,101356315.7
2021-09-21T16:00:02.617Z,-USD,000037.653,000037.995,0000031.33,07531698.0,000035.449,101624357.2
2021-09-21T17:00:03.462Z,-USD,000036.884,000037.927,0000031.33,07398370.3,000034.565,101923311.1
2021-09-21T18:00:01.824Z,-USD,000037.219,000037.232,0000031.33,07488889.2,000032.928,102189884.7
