Coin on file:	BAT
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000000.769,0000000.78,000000.739,2252647.11,000000.754,96698535.99
2021-09-18T04:00:01.983Z,-USD,000000.775,0000000.78,000000.739,2200832.18,000000.756,96725108.58
2021-09-18T05:00:02.052Z,-USD,000000.776,0000000.78,000000.739,2149267.45,000000.763,96742275.25
2021-09-18T06:00:02.083Z,-USD,000000.777,0000000.78,000000.739,2135536.99,000000.769,96773499.58
2021-09-18T07:00:02.385Z,-USD,000000.777,0000000.78,000000.739,2133462.48,000000.767,96821142.09
2021-09-18T08:00:02.626Z,-USD,000000.767,000000.777,000000.739,2138901.19,000000.772,96868390.32
2021-09-18T09:00:01.852Z,-USD,000000.776,000000.777,000000.739,02120547.5,000000.769,96912108.45
2021-09-18T10:00:01.968Z,-USD,000000.764,000000.774,000000.739,2132336.65,000000.768,96947220.94
2021-09-18T11:00:02.344Z,-USD,000000.755,000000.774,000000.739,1823624.98,000000.765,96958426.34
2021-09-18T12:00:02.46Z,-USD,0000000.75,000000.774,000000.739,1801229.04,000000.759,96991891.69
2021-09-18T13:00:02.675Z,-USD,000000.755,000000.774,000000.739,1989290.63,000000.763,97253759.98
2021-09-18T14:00:01.88Z,-USD,000000.747,000000.774,000000.739,2088859.58,000000.765,97424748.29
2021-09-18T14:27:57.952Z,-USD,000000.757,000000.774,000000.739,2016714.16,000000.767,97438574.54
2021-09-18T14:28:37.246Z,-USD,000000.757,000000.774,000000.739,2016897.56,000000.767,97438757.94
2021-09-18T14:31:17.504Z,-USD,000000.757,000000.774,000000.739,2024262.68,000000.767,97446123.06
2021-09-18T15:00:02.118Z,-USD,000000.757,000000.774,000000.739,2052951.09,000000.765,97474811.47
2021-09-18T16:00:02.322Z,-USD,000000.755,000000.774,000000.739,1874268.28,000000.763,97556996.46
2021-09-18T17:00:02.107Z,-USD,0000000.76,000000.774,000000.739,01868288.2,0000000.76,97591602.07
2021-09-18T18:00:07.221Z,-USD,000000.752,000000.774,000000.739,1820983.37,000000.762,97621863.24
2021-09-18T19:00:01.787Z,-USD,000000.749,000000.774,000000.739,1687548.64,000000.759,97647463.65
2021-09-18T20:00:02.515Z,-USD,000000.752,000000.774,000000.739,1782687.06,000000.759,97781527.5
2021-09-18T21:00:02.121Z,-USD,000000.742,000000.774,000000.739,1867521.38,000000.749,97911505.74
2021-09-18T22:00:02.335Z,-USD,000000.748,000000.774,000000.739,1781421.46,000000.743,98054916.36
2021-09-18T23:00:01.768Z,-USD,000000.742,000000.774,000000.741,1723471.18,000000.749,98116908.75
2021-09-19T00:00:02.394Z,-USD,000000.751,000000.774,000000.741,1737718.36,000000.756,98176245.07
2021-09-19T01:00:02.002Z,-USD,000000.754,000000.774,000000.741,1689483.47,000000.743,95400663.33
2021-09-19T02:00:02.019Z,-USD,000000.754,000000.774,000000.741,01649104.1,000000.747,95454808.99
2021-09-19T03:00:02.664Z,-USD,000000.754,000000.774,000000.741,1588220.39,000000.748,95475087.06
2021-09-19T04:00:02.654Z,-USD,000000.758,000000.774,0000000.74,1642447.57,000000.741,95557225.74
2021-09-19T05:00:02.407Z,-USD,000000.762,000000.774,0000000.74,1653666.03,000000.742,95584304.13
2021-09-19T06:00:02.187Z,-USD,000000.769,000000.774,0000000.74,1667253.71,000000.748,95629064.62
2021-09-19T07:00:02.005Z,-USD,000000.771,000000.774,0000000.74,1637508.31,000000.749,95647771.69
2021-09-19T08:00:02.143Z,-USD,000000.774,000000.774,0000000.74,1613410.81,0000000.75,95670303.42
2021-09-19T09:00:01.925Z,-USD,000000.769,0000000.77,0000000.74,1633792.32,000000.753,95734213.28
2021-09-19T10:00:01.868Z,-USD,000000.768,0000000.77,0000000.74,1622010.39,000000.753,95757554.96
2021-09-19T11:00:02.48Z,-USD,000000.766,0000000.77,0000000.74,1626977.25,000000.748,95773717.73
2021-09-19T12:00:02.523Z,-USD,000000.761,000000.769,000000.731,1775813.76,000000.734,95956825.0
2021-09-19T13:00:02.684Z,-USD,000000.763,000000.769,000000.731,1576986.33,000000.739,96019113.1
2021-09-19T14:00:02.607Z,-USD,000000.765,000000.769,000000.731,1468805.97,0000000.74,96082825.72
2021-09-19T15:00:02.684Z,-USD,000000.765,000000.766,000000.731,1437799.07,000000.742,96103987.29
2021-09-19T16:00:02.634Z,-USD,000000.764,000000.765,000000.731,1388558.12,000000.743,96139716.89
2021-09-19T17:00:02.62Z,-USD,000000.759,000000.762,000000.731,1400207.41,000000.745,96180171.57
2021-09-19T18:00:01.7Z,-USD,000000.761,000000.762,000000.731,1408265.16,000000.737,96218643.74
2021-09-19T19:00:01.839Z,-USD,000000.759,0000000.76,000000.731,1396966.26,000000.743,96234059.25
2021-09-19T20:00:01.841Z,-USD,000000.758,000000.758,000000.731,1298796.73,000000.737,96268698.18
2021-09-19T21:00:02.299Z,-USD,000000.747,000000.756,000000.731,1220331.54,000000.746,96320177.35
2021-09-19T22:00:02.24Z,-USD,000000.743,000000.756,000000.731,01106439.2,000000.742,96350754.66
2021-09-19T23:00:02.396Z,-USD,0000000.75,000000.756,000000.725,1206072.88,000000.729,96511298.42
2021-09-20T00:00:01.696Z,-USD,000000.755,000000.756,000000.725,1276922.61,000000.738,96641509.75
2021-09-20T01:00:01.876Z,-USD,000000.742,000000.754,000000.719,1559534.98,000000.722,95047542.01
2021-09-20T02:00:02.151Z,-USD,000000.747,000000.754,000000.719,1593512.61,000000.729,95135265.35
2021-09-20T03:00:02.274Z,-USD,000000.748,000000.754,000000.703,1780215.93,000000.704,95341997.1
2021-09-20T04:00:02.153Z,-USD,000000.741,000000.754,000000.688,2037979.94,000000.696,95683455.82
2021-09-20T05:00:01.965Z,-USD,000000.743,000000.754,000000.686,2360413.74,000000.699,96031424.73
2021-09-20T06:00:01.919Z,-USD,0000000.75,000000.754,000000.686,2432938.22,000000.698,96148690.54
2021-09-20T07:00:02.042Z,-USD,000000.749,000000.754,000000.677,2931656.14,0000000.69,96666346.43
2021-09-20T08:00:02.121Z,-USD,0000000.75,000000.754,000000.674,3201749.75,000000.677,96958818.29
2021-09-20T09:00:01.892Z,-USD,000000.752,000000.754,000000.674,3208908.84,000000.684,97030038.47
2021-09-20T10:00:01.701Z,-USD,000000.753,000000.754,000000.674,3252728.03,000000.676,97097226.26
2021-09-20T11:00:02.361Z,-USD,000000.748,000000.749,000000.672,3336333.74,000000.677,97196837.67
2021-09-20T12:00:02.361Z,-USD,000000.732,000000.749,000000.644,3753627.64,000000.655,97798134.38
2021-09-20T13:00:02.403Z,-USD,000000.739,000000.749,000000.631,4160417.04,000000.654,98266297.67
2021-09-20T14:00:02.73Z,-USD,0000000.74,000000.749,000000.631,4320903.54,000000.666,98490420.61
2021-09-20T15:00:01.832Z,-USD,000000.741,000000.749,000000.631,4504823.41,000000.664,98695633.04
2021-09-20T16:00:02.357Z,-USD,000000.742,000000.749,000000.631,04662184.7,000000.672,98888675.55
2021-09-20T17:00:02.536Z,-USD,000000.746,000000.749,000000.631,4710418.29,000000.669,98978935.33
2021-09-20T18:00:02.544Z,-USD,000000.736,000000.749,000000.631,04865668.0,000000.673,99171142.33
2021-09-20T19:00:02.469Z,-USD,000000.743,000000.749,000000.631,4943107.19,000000.655,99263866.05
2021-09-20T20:00:02.434Z,-USD,000000.735,000000.749,000000.631,5120791.63,0000000.66,99476209.92
2021-09-20T21:00:02.46Z,-USD,000000.746,000000.749,000000.631,5240255.77,000000.653,99647480.65
2021-09-20T22:00:02.44Z,-USD,000000.744,000000.746,000000.631,5285451.91,000000.657,99725488.62
2021-09-20T23:00:02.52Z,-USD,000000.729,000000.742,000000.631,5212880.22,000000.655,99810898.24
2021-09-21T00:00:02.956Z,-USD,000000.739,000000.741,000000.631,05269526.3,0000000.65,99997757.65
2021-09-21T01:00:02.191Z,-USD,000000.721,000000.729,000000.617,5279930.27,000000.632,92019035.15
2021-09-21T02:00:01.777Z,-USD,000000.729,000000.729,000000.617,5416086.85,000000.653,92241289.55
2021-09-21T03:00:02.103Z,-USD,000000.703,000000.708,000000.617,5357383.24,000000.661,92392636.9
2021-09-21T04:00:02.34Z,-USD,000000.693,000000.701,000000.617,5088333.89,000000.656,92463748.25
2021-09-21T05:00:02.612Z,-USD,000000.699,000000.701,000000.617,4832454.04,000000.646,92553856.01
2021-09-21T06:00:02.518Z,-USD,000000.697,000000.701,000000.617,04842227.1,000000.649,92680855.75
2021-09-21T07:00:02.272Z,-USD,0000000.69,000000.694,000000.617,4342449.14,000000.657,92713563.05
2021-09-21T08:00:02.419Z,-USD,0000000.68,000000.689,000000.617,4102522.79,000000.666,92751972.79
2021-09-21T09:00:02.545Z,-USD,000000.682,000000.689,000000.617,4060591.38,000000.667,92781409.66
2021-09-21T10:00:02.395Z,-USD,000000.676,000000.687,000000.617,4031911.74,000000.663,92821602.68
2021-09-21T11:00:02.6Z,-USD,000000.676,000000.685,000000.617,4034702.85,000000.667,92921671.29
2021-09-21T12:00:02.507Z,-USD,000000.654,000000.685,000000.617,3487706.49,000000.671,92975888.06
2021-09-21T13:00:02.679Z,-USD,000000.654,000000.685,000000.617,03089262.7,000000.668,93046046.56
2021-09-21T14:00:01.857Z,-USD,000000.667,000000.685,000000.617,2945265.49,000000.664,93125640.47
2021-09-21T15:00:02.144Z,-USD,000000.665,000000.685,000000.617,3121704.72,0000000.65,93508437.54
2021-09-21T16:00:02.617Z,-USD,000000.672,000000.676,000000.617,02962909.4,000000.658,93542180.26
2021-09-21T17:00:03.462Z,-USD,0000000.67,000000.676,000000.617,3108560.88,000000.648,93778980.32
2021-09-21T18:00:01.824Z,-USD,000000.674,000000.675,000000.617,3147201.48,0000000.64,94019639.88
2021-09-21T19:00:02.438Z,-USD,000000.656,000000.675,000000.617,3183805.48,000000.641,94137644.48
2021-09-21T20:00:02.298Z,-USD,0000000.66,000000.675,000000.617,3096193.84,000000.635,94262431.01
2021-09-21T21:00:01.766Z,-USD,000000.655,000000.675,000000.615,3414084.46,000000.617,94752115.85
2021-09-21T22:00:02.225Z,-USD,000000.658,000000.675,000000.598,3654462.91,000000.624,95070267.36
2021-09-21T23:00:02.124Z,-USD,000000.655,000000.675,000000.598,3699615.06,000000.604,95204127.21
2021-09-22T00:00:02.323Z,-USD,000000.652,000000.675,000000.598,3639776.22,000000.606,95328903.89
2021-09-22T01:00:02.686Z,-USD,000000.634,000000.675,000000.595,3471461.15,000000.602,90808218.31
2021-09-22T02:00:01.838Z,-USD,000000.652,000000.675,000000.595,3605965.52,000000.623,91163202.16
2021-09-22T03:00:02.496Z,-USD,0000000.66,000000.675,000000.595,3653266.99,000000.626,91362765.65
2021-09-22T04:00:01.855Z,-USD,000000.654,000000.675,000000.595,3639725.05,000000.624,91419280.79
2021-09-22T05:00:01.961Z,-USD,000000.646,000000.675,000000.595,03602548.9,0000000.62,91472087.08
2021-09-22T06:00:02.356Z,-USD,000000.651,000000.675,000000.595,3519623.09,000000.631,91516272.98
2021-09-22T07:00:02.359Z,-USD,000000.658,000000.675,000000.595,3546075.15,000000.639,91575561.07
