Coin on file:	BTC
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,0047764.85,0048176.64,0046752.67,9274.96076081,0047661.63,337023.61397524
2021-09-18T04:00:01.983Z,-USD,0047913.65,0048176.64,0046752.67,9392.28379627,00047950.0,337452.09305238
2021-09-18T05:00:02.052Z,-USD,0048091.06,0048349.98,0046752.67,9548.22122366,0048349.98,337895.84448689
2021-09-18T06:00:02.083Z,-USD,0048064.14,0048768.57,0046752.67,9867.20627037,0048687.16,338443.69761894
2021-09-18T07:00:02.385Z,-USD,0048071.08,0048780.78,0046752.67,9990.47179255,0048590.47,338760.56207565
2021-09-18T08:00:02.626Z,-USD,0047735.85,0048780.78,0046752.67,9979.3858772,0048629.16,338974.39644896
2021-09-18T09:00:01.852Z,-USD,0047930.45,0048780.78,0046752.67,10001.11654215,0048660.99,339172.31867841
2021-09-18T10:00:01.968Z,-USD,0047732.69,0048825.62,0046752.67,9995.73545667,0048628.55,339369.37806129
2021-09-18T11:00:02.344Z,-USD,0047462.47,0048825.62,0046752.67,9803.93638345,0048591.29,339574.57268703
2021-09-18T12:00:02.46Z,-USD,0047412.92,0048825.62,0046752.67,9474.8284435,0048353.94,339790.44948115
2021-09-18T13:00:02.675Z,-USD,0047475.01,0048825.62,0046752.67,9406.57349513,0048379.87,340129.68537728
2021-09-18T14:00:01.88Z,-USD,00047250.0,0048825.62,0046752.67,9184.52281525,0048449.51,340367.99951346
2021-09-18T14:27:57.952Z,-USD,0047505.87,0048825.62,0046752.67,8826.61695764,0048511.29,340527.55062831
2021-09-18T14:28:37.246Z,-USD,0047505.87,0048825.62,0046752.67,8829.27740458,0048514.18,340530.21107525
2021-09-18T14:31:17.504Z,-USD,0047505.87,0048825.62,0046752.67,8834.71607292,0048519.44,340535.64974359
2021-09-18T15:00:02.118Z,-USD,0047505.87,0048825.62,0046752.67,8964.96706823,0048485.53,340665.9007389
2021-09-18T16:00:02.322Z,-USD,0047526.82,0048825.62,0046752.67,8870.598662,0048439.11,340965.16649373
2021-09-18T17:00:02.107Z,-USD,0047629.52,0048825.62,0046752.67,8783.6454058,00048228.3,341264.01224888
2021-09-18T18:00:07.221Z,-USD,00047250.0,0048825.62,0046752.67,8672.53391513,0048361.24,341576.09535247
2021-09-18T19:00:01.787Z,-USD,0047195.77,0048825.62,0046775.65,7987.21126522,0048303.39,341863.45923026
2021-09-18T20:00:02.515Z,-USD,0047505.29,0048825.62,0046775.65,7882.37511597,0048260.88,342133.72544711
2021-09-18T21:00:02.121Z,-USD,0046980.78,0048825.62,0046775.65,7817.99334183,0048011.04,342505.17729789
2021-09-18T22:00:02.335Z,-USD,0047282.93,0048825.62,0046911.62,7653.28560809,0047884.13,342745.9425735
2021-09-18T23:00:01.768Z,-USD,0046977.88,0048825.62,0046911.62,7541.72266362,0048045.06,343060.60162301
2021-09-19T00:00:02.394Z,-USD,0047306.87,0048825.62,00047050.0,7486.42823941,0048325.87,343347.69561053
2021-09-19T01:00:02.002Z,-USD,0047390.68,0048825.62,0047339.78,7403.85677977,0047938.16,330462.31256856
2021-09-19T02:00:02.019Z,-USD,0047613.59,0048825.62,0047526.26,7407.81831036,0047866.74,330868.57238471
2021-09-19T03:00:02.664Z,-USD,0047658.54,0048825.62,0047606.04,7244.69545487,0048022.85,331083.79733117
2021-09-19T04:00:02.654Z,-USD,0047941.74,0048825.62,0047606.04,7026.49602442,00047850.2,331295.23646329
2021-09-19T05:00:02.407Z,-USD,0048339.17,0048825.62,0047606.04,6790.93781944,0047855.89,331503.28875916
2021-09-19T06:00:02.187Z,-USD,0048685.08,0048825.62,0047606.04,6411.6018939,0048039.82,331671.24375057
2021-09-19T07:00:02.005Z,-USD,0048595.61,0048825.62,0047606.04,6335.6762588,0048126.27,331912.16508966
2021-09-19T08:00:02.143Z,-USD,0048627.78,0048825.62,0047606.04,6335.62405297,00048179.2,332125.435592
2021-09-19T09:00:01.925Z,-USD,0048666.73,0048825.62,0047606.04,6339.68513265,0048277.55,332330.33285987
2021-09-19T10:00:01.868Z,-USD,0048625.73,0048710.11,0047606.04,6314.4185053,0048148.01,332499.38140203
2021-09-19T11:00:02.48Z,-USD,0048593.02,0048685.28,0047606.04,6252.48315266,0048070.22,332642.40296903
2021-09-19T12:00:02.523Z,-USD,0048374.14,0048685.28,00047149.0,6540.86349194,00047365.2,333147.72884362
2021-09-19T13:00:02.684Z,-USD,0048370.91,0048564.15,00047100.0,6619.12116949,00047272.1,333564.69180453
2021-09-19T14:00:02.607Z,-USD,0048455.13,0048564.15,00047100.0,6702.86460911,0047335.21,333887.20417792
2021-09-19T15:00:02.684Z,-USD,0048485.53,0048564.15,00047100.0,6840.68870885,00047608.8,334322.30277015
2021-09-19T16:00:02.634Z,-USD,00048433.2,0048532.59,00047100.0,6815.14284814,0047663.08,334598.34206782
2021-09-19T17:00:02.62Z,-USD,0048214.78,0048431.26,00047100.0,6738.9278875,0047557.28,334822.1845587
2021-09-19T18:00:01.7Z,-USD,0048347.22,0048431.26,00047100.0,6697.46042707,0047353.39,335089.80911811
2021-09-19T19:00:01.839Z,-USD,0048300.76,0048379.75,00047100.0,6679.1449847,0047645.24,335358.40424695
2021-09-19T20:00:01.841Z,-USD,0048272.44,0048379.75,00047100.0,6646.52704708,0047371.79,335597.79077622
2021-09-19T21:00:02.299Z,-USD,0047983.98,0048379.75,00047100.0,6522.36134595,0047606.39,335843.79498727
2021-09-19T22:00:02.24Z,-USD,0047881.46,0048379.75,00047100.0,6505.50741088,0047460.92,336067.68341677
2021-09-19T23:00:02.396Z,-USD,0048056.51,0048379.75,0046850.87,6977.4675743,0047050.35,336854.32768488
2021-09-20T00:00:01.696Z,-USD,0048309.86,0048379.19,0046850.87,7085.5958832,0047241.42,337253.22726028
2021-09-20T01:00:01.876Z,-USD,0047941.36,0048346.73,00046800.0,7260.60715582,0046998.01,328150.1143192
2021-09-20T02:00:02.151Z,-USD,0047890.75,0048346.73,00046800.0,7092.23836891,0047244.08,328386.53235675
2021-09-20T03:00:02.274Z,-USD,0048020.98,0048346.73,00045802.0,8023.08035193,0045995.36,329532.33040338
2021-09-20T04:00:02.153Z,-USD,0047854.63,0048346.73,00045163.5,9196.91494939,0045586.56,330917.56194911
2021-09-20T05:00:01.965Z,-USD,0047863.25,0048346.73,00045163.5,9914.47537116,00045665.3,331844.32036276
2021-09-20T06:00:01.919Z,-USD,00048026.2,0048346.73,00045163.5,10110.99994282,0045759.35,332209.82962706
2021-09-20T07:00:02.042Z,-USD,0048144.54,0048346.73,00045163.5,10357.62213006,0045640.26,332698.09127914
2021-09-20T08:00:02.121Z,-USD,0048171.79,0048346.73,0044488.21,11401.8257086,0044783.19,333953.49453562
2021-09-20T09:00:01.892Z,-USD,0048276.46,0048346.73,0044488.21,11842.39361335,0045067.78,334598.9915907
2021-09-20T10:00:01.701Z,-USD,0048128.52,0048188.67,0044488.21,12250.98491862,0044815.82,335178.59754125
2021-09-20T11:00:02.361Z,-USD,0048074.36,0048083.07,00044303.0,13034.57809695,0044565.74,336102.46215107
2021-09-20T12:00:02.361Z,-USD,0047342.63,0047790.91,00043250.0,14635.63131189,0043752.11,338209.57417751
2021-09-20T13:00:02.403Z,-USD,0047293.97,0047790.91,00042500.0,17114.54330331,0043502.34,341131.32246909
2021-09-20T14:00:02.73Z,-USD,0047339.17,0047790.91,00042500.0,19028.56188033,00044052.5,343341.02089552
2021-09-20T15:00:01.832Z,-USD,00047600.0,0047790.91,00042500.0,19966.29062722,0043805.76,344716.51915199
