Coin on file:	DASH
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000205.603,000208.157,000194.727,9918.47625948,000202.704,525072.55793239
2021-09-18T04:00:01.983Z,-USD,0000207.35,000208.157,000194.727,9755.75054525,000202.644,525195.0751925
2021-09-18T05:00:02.052Z,-USD,0000207.35,000208.157,000194.727,9544.24258057,00000203.7,525389.38152897
2021-09-18T06:00:02.083Z,-USD,000207.665,000208.157,000194.727,10049.72316787,000204.973,526008.88234535
2021-09-18T07:00:02.385Z,-USD,000207.213,0000208.09,000194.727,9973.07764969,000204.037,526192.63942095
2021-09-18T08:00:02.626Z,-USD,000203.575,000206.357,000194.727,10069.59864347,0000204.76,526434.51978942
2021-09-18T09:00:01.852Z,-USD,0000206.27,000206.284,000194.727,10732.13426214,000204.507,527304.05008864
2021-09-18T10:00:01.968Z,-USD,000202.666,000206.265,000194.727,10722.91819829,000203.976,527421.31208864
2021-09-18T11:00:02.344Z,-USD,000198.987,000206.265,000194.727,9412.89966584,000204.146,527508.50608841
2021-09-18T12:00:02.46Z,-USD,000198.105,000206.265,000194.727,9353.94981724,000201.982,527704.0597573
2021-09-18T13:00:02.675Z,-USD,000199.443,000206.265,000194.727,9408.82185038,000203.162,528214.88550198
2021-09-18T14:00:01.88Z,-USD,000199.538,000206.265,000194.727,9394.04387386,000203.912,528387.88552546
2021-09-18T14:27:57.952Z,-USD,000201.023,000206.265,000194.727,8847.21015506,000205.028,528427.20110517
2021-09-18T14:28:37.246Z,-USD,000201.023,000206.265,000194.727,8874.92706304,000205.345,528454.91801315
2021-09-18T14:31:17.504Z,-USD,000201.023,000206.265,000194.727,8878.81806304,000205.263,528458.80901315
2021-09-18T15:00:02.118Z,-USD,000201.023,000206.265,000194.727,8921.19258862,000204.444,528501.18353873
2021-09-18T16:00:02.322Z,-USD,000200.253,000206.265,000194.727,9532.66288614,000203.014,529389.21258454
2021-09-18T17:00:02.107Z,-USD,000201.192,000206.265,000194.727,9715.71465161,000201.252,529774.74316057
2021-09-18T18:00:07.221Z,-USD,000198.128,000206.265,000194.727,9553.08238457,000201.996,529937.70856709
2021-09-18T19:00:01.787Z,-USD,000197.958,000206.265,000195.255,9077.00996065,000200.206,530177.26408671
2021-09-18T20:00:02.515Z,-USD,000200.357,000206.265,000195.255,9036.44096225,000200.244,530399.25195005
2021-09-18T21:00:02.121Z,-USD,00000197.3,000206.265,000195.255,9345.11244952,000197.875,531128.6332924
2021-09-18T22:00:02.335Z,-USD,000198.773,000206.265,000195.255,8964.13124205,000198.405,531477.76313808
2021-09-18T23:00:01.768Z,-USD,000197.107,000206.265,000195.255,8854.7838739,000199.141,531729.05196515
2021-09-19T00:00:02.394Z,-USD,0000199.48,000206.265,000195.255,8971.57979471,000199.562,531947.58221196
2021-09-19T01:00:02.002Z,-USD,000199.581,000206.265,000196.951,8796.43462715,000197.186,513868.93415005
2021-09-19T02:00:02.019Z,-USD,000200.903,000206.265,000195.866,8254.40434895,000198.305,514153.32692626
2021-09-19T03:00:02.664Z,-USD,000202.881,000206.265,000195.866,7425.61650682,000198.111,514232.16985606
2021-09-19T04:00:02.654Z,-USD,000202.626,000206.265,000195.866,7876.99299994,000197.021,514805.21460929
2021-09-19T05:00:02.407Z,-USD,000203.717,000206.265,000195.866,7948.20169177,000197.282,515092.87163759
