Coin on file:	DOT
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000035.903,0000036.97,00000032.2,2681642.203,000033.626,92771273.591
2021-09-18T04:00:01.983Z,-USD,000036.893,0000036.97,00000032.2,2721056.741,000034.052,92915273.948
2021-09-18T05:00:02.052Z,-USD,000036.782,000036.928,00000032.2,2713208.15,0000034.51,92983833.963
2021-09-18T06:00:02.083Z,-USD,000036.771,000036.807,00000032.2,2727189.708,000035.219,93072010.318
2021-09-18T07:00:02.385Z,-USD,0000036.38,0000036.48,00000032.2,2714639.788,0000035.04,93137904.729
2021-09-18T08:00:02.626Z,-USD,000035.723,0000036.24,00000032.2,2708081.96,000035.015,93201672.143
2021-09-18T09:00:01.852Z,-USD,000036.178,000036.224,00000032.2,2714483.14,000034.915,93265198.03
2021-09-18T10:00:01.968Z,-USD,000035.223,000035.315,00000032.2,2709324.605,000034.808,93329884.646
2021-09-18T11:00:02.344Z,-USD,000034.375,000035.498,00000032.2,2625270.115,000035.087,93378345.276
2021-09-18T12:00:02.46Z,-USD,000033.551,000035.498,00000032.2,2479160.001,00000034.7,93454813.281
2021-09-18T13:00:02.675Z,-USD,000033.799,000035.498,00000032.2,2419498.573,000035.015,93583765.688
2021-09-18T14:00:01.88Z,-USD,0000033.52,0000035.92,00000032.2,2461236.112,000035.379,93800256.471
2021-09-18T14:27:57.952Z,-USD,00000033.8,0000035.92,00000032.2,2327023.174,0000035.52,93901285.984
2021-09-18T14:28:37.246Z,-USD,00000033.8,0000035.92,00000032.2,2328676.996,000035.517,93902939.806
2021-09-18T14:31:17.504Z,-USD,00000033.8,0000035.92,00000032.2,2334301.123,000035.457,93908563.933
2021-09-18T15:00:02.118Z,-USD,00000033.8,0000035.92,00000032.2,2426770.738,000035.323,94001033.548
