Coin on file:	ENJ
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000001.665,00000001.7,000001.603,2120146.09,000001.654,148000655.2
2021-09-18T04:00:01.983Z,-USD,000001.679,00000001.7,000001.603,2068342.45,000001.657,148031527.58
2021-09-18T05:00:02.052Z,-USD,000001.689,00000001.7,000001.603,2038977.83,000001.663,148081831.01
2021-09-18T06:00:02.083Z,-USD,000001.683,00000001.7,000001.603,2073369.66,000001.674,148160687.51
2021-09-18T07:00:02.385Z,-USD,000001.695,000001.696,000001.603,2021347.63,000001.663,148207669.37
2021-09-18T08:00:02.626Z,-USD,000001.666,000001.694,000001.603,02057568.9,000001.685,148301254.99
2021-09-18T09:00:01.852Z,-USD,000001.685,000001.694,000001.603,2111202.94,000001.677,148396544.83
2021-09-18T10:00:01.968Z,-USD,000001.659,000001.694,000001.603,2118557.52,000001.675,148436397.07
2021-09-18T11:00:02.344Z,-USD,0000001.62,000001.694,000001.603,1963232.18,000001.681,148467365.76
2021-09-18T12:00:02.46Z,-USD,000001.611,000001.694,000001.603,1874896.99,000001.665,148489439.93
2021-09-18T13:00:02.675Z,-USD,000001.633,000001.694,000001.605,1840836.79,000001.662,148549313.9
2021-09-18T14:00:01.88Z,-USD,0000001.62,000001.694,000001.605,1801415.58,0000001.67,148587365.8
2021-09-18T14:27:57.952Z,-USD,000001.634,000001.694,000001.605,01669367.4,0000001.68,148616122.63
2021-09-18T14:28:37.246Z,-USD,000001.634,000001.694,000001.605,01669867.4,000001.679,148616622.63
2021-09-18T14:31:17.504Z,-USD,000001.634,000001.694,000001.605,01675031.4,000001.679,148621786.63
2021-09-18T15:00:02.118Z,-USD,000001.634,000001.694,000001.605,1699955.79,000001.675,148646711.02
2021-09-18T16:00:02.322Z,-USD,000001.636,000001.694,000001.605,1617776.34,000001.661,148700639.12
2021-09-18T17:00:02.107Z,-USD,000001.652,000001.694,000001.605,1562815.11,000001.644,148795078.38
2021-09-18T18:00:07.221Z,-USD,000001.624,000001.694,000001.605,1585121.68,000001.661,148890331.11
2021-09-18T19:00:01.787Z,-USD,000001.627,000001.694,000001.605,1620783.11,000001.651,149018714.38
2021-09-18T20:00:02.515Z,-USD,000001.637,000001.694,000001.605,1600296.51,000001.648,149067404.08
2021-09-18T21:00:02.121Z,-USD,000001.615,000001.694,000001.605,1636562.47,000001.625,149169170.89
2021-09-18T22:00:02.335Z,-USD,000001.626,000001.694,000001.606,1614982.44,000001.625,149231439.55
2021-09-18T23:00:01.768Z,-USD,000001.617,000001.694,000001.606,1617988.74,0000001.63,149310504.16
2021-09-19T00:00:02.394Z,-USD,000001.635,000001.694,000001.606,1604936.63,000001.648,149385223.84
2021-09-19T01:00:02.002Z,-USD,000001.658,000001.694,000001.606,1545697.41,000001.625,147149017.32
2021-09-19T02:00:02.019Z,-USD,000001.657,000001.694,000001.606,1538613.05,000001.633,147190789.47
2021-09-19T03:00:02.664Z,-USD,000001.657,000001.694,000001.606,1556520.21,000001.632,147264468.44
2021-09-19T04:00:02.654Z,-USD,000001.658,000001.694,000001.606,1549117.82,000001.621,147288789.28
2021-09-19T05:00:02.407Z,-USD,000001.664,000001.694,000001.606,1527161.42,000001.619,147315990.15
2021-09-19T06:00:02.187Z,-USD,000001.676,000001.694,000001.606,1478076.95,000001.635,147346049.77
2021-09-19T07:00:02.005Z,-USD,000001.668,000001.694,000001.606,1461238.82,000001.635,147375902.04
2021-09-19T08:00:02.143Z,-USD,000001.688,000001.692,000001.606,1392881.82,000001.639,147401628.94
2021-09-19T09:00:01.925Z,-USD,000001.679,000001.689,000001.606,1310248.18,0000001.64,147413784.32
2021-09-19T10:00:01.868Z,-USD,000001.678,000001.689,000001.606,1293924.96,000001.636,147438410.23
2021-09-19T11:00:02.48Z,-USD,000001.687,000001.689,000001.606,1290637.85,000001.628,147465036.46
2021-09-19T12:00:02.523Z,-USD,0000001.67,0000001.68,000001.586,01360524.2,000001.593,147558274.04
2021-09-19T13:00:02.684Z,-USD,000001.664,0000001.68,000001.586,01363795.5,000001.601,147620111.6
2021-09-19T14:00:02.607Z,-USD,000001.672,0000001.68,000001.586,1410475.59,000001.618,147704937.81
2021-09-19T15:00:02.684Z,-USD,000001.675,000001.675,000001.586,1456606.87,000001.613,147810313.17
2021-09-19T16:00:02.634Z,-USD,000001.666,000001.667,000001.586,01458683.9,000001.614,147866417.15
2021-09-19T17:00:02.62Z,-USD,000001.641,000001.661,000001.586,1397765.84,000001.611,147901136.86
2021-09-19T18:00:01.7Z,-USD,0000001.66,0000001.66,000001.586,1404635.43,000001.598,148002258.29
2021-09-19T19:00:01.839Z,-USD,0000001.65,000001.651,000001.586,1312680.56,000001.607,148039754.97
2021-09-19T20:00:01.841Z,-USD,000001.648,000001.649,000001.586,1293491.34,000001.597,148068234.7
2021-09-19T21:00:02.299Z,-USD,000001.621,000001.649,000001.586,1222888.58,000001.617,148099640.98
2021-09-19T22:00:02.24Z,-USD,000001.624,000001.649,000001.586,1194382.44,000001.598,148133182.22
2021-09-19T23:00:02.396Z,-USD,000001.635,000001.649,000001.552,1307788.04,000001.559,148325588.93
2021-09-20T00:00:01.696Z,-USD,000001.648,000001.649,000001.552,1449634.65,0000001.57,148542076.12
2021-09-20T01:00:01.876Z,-USD,000001.622,000001.646,000001.531,1688739.51,000001.541,139043227.04
2021-09-20T02:00:02.151Z,-USD,000001.631,000001.646,000001.531,1723667.61,000001.552,139119393.54
2021-09-20T03:00:02.274Z,-USD,000001.633,000001.646,000001.489,1978823.94,000001.491,139449106.4
2021-09-20T04:00:02.153Z,-USD,0000001.62,000001.646,000001.456,2414181.21,000001.479,139907790.41
2021-09-20T05:00:01.965Z,-USD,000001.623,000001.646,000001.456,2575253.03,000001.484,140096407.2
2021-09-20T06:00:01.919Z,-USD,000001.637,000001.646,000001.456,2608951.77,000001.487,140160121.04
2021-09-20T07:00:02.042Z,-USD,000001.635,000001.646,000001.456,2638609.44,0000001.47,140219371.35
2021-09-20T08:00:02.121Z,-USD,0000001.64,000001.646,000001.419,2923349.64,0000001.43,140529802.13
2021-09-20T09:00:01.892Z,-USD,000001.645,000001.646,000001.419,3133885.65,000001.459,140757018.98
2021-09-20T10:00:01.701Z,-USD,000001.638,000001.641,000001.419,3252105.74,0000001.44,140895445.09
