Coin on file:	ETC
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000057.373,000059.003,000055.727,189829.80054032,000056.604,11060364.88631732
2021-09-18T04:00:01.983Z,-USD,0000058.03,000059.003,000055.727,186288.2997737,000057.108,11064236.21853457
2021-09-18T05:00:02.052Z,-USD,000058.218,000059.003,000055.727,176886.41293607,000057.493,11068706.97484407
2021-09-18T06:00:02.083Z,-USD,000058.448,000059.003,000055.727,176773.91355165,000057.965,11074323.67741219
2021-09-18T07:00:02.385Z,-USD,000058.503,000059.003,000055.727,177255.16690534,000057.901,11080049.66333683
2021-09-18T08:00:02.626Z,-USD,000058.037,000059.003,000055.727,175885.79243845,0000057.81,11082795.70041637
2021-09-18T09:00:01.852Z,-USD,000058.606,000058.748,000055.727,174576.48322283,000057.999,11091509.39273398
2021-09-18T10:00:01.968Z,-USD,0000057.45,000058.367,000055.727,173439.39614831,0000057.81,11101443.08653108
2021-09-18T11:00:02.344Z,-USD,000056.681,000058.367,000055.727,155019.47574852,0000057.75,11103862.95241439
2021-09-18T12:00:02.46Z,-USD,000056.584,000058.367,000055.727,144647.25693038,000057.263,11108297.58921091
2021-09-18T13:00:02.675Z,-USD,000056.935,000058.367,000055.727,144241.32759742,000057.465,11118153.77578212
2021-09-18T14:00:01.88Z,-USD,000056.584,000058.367,000055.727,145066.29062243,000057.538,11125217.89463442
2021-09-18T14:27:57.952Z,-USD,000057.249,000058.367,000055.727,141349.88229723,000057.808,11128980.12005845
2021-09-18T14:28:37.246Z,-USD,000057.249,000058.367,000055.727,141850.70447767,000057.857,11129480.94223889
2021-09-18T14:31:17.504Z,-USD,000057.249,000058.367,000055.727,142160.04129273,000057.837,11129790.27905395
2021-09-18T15:00:02.118Z,-USD,000057.249,000058.367,000055.727,146893.17336525,000057.719,11134523.41112647
2021-09-18T16:00:02.322Z,-USD,0000057.17,000058.367,000055.727,145533.111498,0000057.44,11137995.88108399
2021-09-18T17:00:02.107Z,-USD,000057.367,000058.367,000055.727,148775.8792351,000057.083,11145689.86626857
2021-09-18T18:00:07.221Z,-USD,000056.662,000058.367,000055.727,143758.34356794,0000057.33,11148921.32865788
2021-09-18T19:00:01.787Z,-USD,000056.668,000058.367,000055.727,137528.25061286,000057.248,11152862.39247642
2021-09-18T20:00:02.515Z,-USD,000057.052,000058.367,000055.727,135856.22676834,000057.189,11156309.82596479
2021-09-18T21:00:02.121Z,-USD,000056.375,000058.367,000055.727,147028.5337932,0000056.71,11174087.09630506
2021-09-18T22:00:02.335Z,-USD,000056.799,000058.367,000055.727,142326.27456752,000056.731,11177415.58592479
2021-09-18T23:00:01.768Z,-USD,000056.233,000058.367,000055.727,139197.15546525,000056.872,11181409.27976839
2021-09-19T00:00:02.394Z,-USD,000056.697,000058.367,000055.727,141956.99138408,0000057.24,11188629.30838379
2021-09-19T01:00:02.002Z,-USD,000056.654,000058.367,000056.314,140489.20490796,000056.625,10768216.86576265
2021-09-19T02:00:02.019Z,-USD,000056.666,000058.367,000056.021,150742.03481444,000056.756,10781107.27400898
2021-09-19T03:00:02.664Z,-USD,000056.604,000058.367,000056.021,153727.27484457,000056.718,10785365.74447042
2021-09-19T04:00:02.654Z,-USD,0000057.11,000058.367,000056.021,152312.53025406,000056.415,10787802.65952081
2021-09-19T05:00:02.407Z,-USD,000057.547,000058.367,000056.021,151426.73651322,000056.617,10791387.8063273
2021-09-19T06:00:02.187Z,-USD,000057.913,000058.367,000056.021,148564.48420118,000056.785,10794220.34690737
2021-09-19T07:00:02.005Z,-USD,000057.909,000058.367,000056.021,146066.56506593,000056.785,10797365.71171129
2021-09-19T08:00:02.143Z,-USD,000057.821,000058.367,000056.021,146424.13176845,000056.834,10800505.33713901
2021-09-19T09:00:01.925Z,-USD,000057.988,0000058.14,000056.021,140381.86741345,000057.064,10803162.55795475
2021-09-19T10:00:01.868Z,-USD,000057.873,000058.073,000056.021,135767.64991556,000056.856,10808463.21975517
2021-09-19T11:00:02.48Z,-USD,000057.746,0000058.02,000056.021,136424.23533053,000056.597,10811553.89700978
2021-09-19T12:00:02.523Z,-USD,000057.454,000057.986,000055.471,144049.24278162,000055.831,10823680.11530106
2021-09-19T13:00:02.684Z,-USD,000057.296,000057.986,0000055.44,138096.95985389,000055.866,10828229.99593692
2021-09-19T14:00:02.607Z,-USD,000057.573,000057.986,0000055.44,139888.70632997,000055.936,10836357.38427292
2021-09-19T15:00:02.684Z,-USD,000057.713,000057.799,0000055.44,136930.09570566,000056.193,10842773.44019148
2021-09-19T16:00:02.634Z,-USD,000057.557,0000057.71,0000055.44,136682.81808982,000056.143,10845943.18248234
2021-09-19T17:00:02.62Z,-USD,000056.992,000057.339,0000055.44,135879.77334181,000056.058,10852944.92291891
2021-09-19T18:00:01.7Z,-USD,000057.262,000057.339,0000055.44,139189.82807718,000055.792,10859389.050582
2021-09-19T19:00:01.839Z,-USD,000057.221,000057.338,0000055.44,138631.13040798,0000056.17,10862752.9173658
2021-09-19T20:00:01.841Z,-USD,000057.309,000057.338,0000055.44,137916.23060976,000055.814,10865498.36543415
2021-09-19T21:00:02.299Z,-USD,000056.698,000057.338,0000055.44,123157.24557602,000056.232,10868493.98696795
2021-09-19T22:00:02.24Z,-USD,000056.691,000057.338,0000055.44,126659.24488265,000055.884,10875332.41411597
2021-09-19T23:00:02.396Z,-USD,0000056.96,000057.338,0000054.81,133565.42432914,000054.996,10886226.25735169
2021-09-20T00:00:01.696Z,-USD,000057.184,000057.207,0000054.81,132913.34344427,000055.358,10892801.23513659
2021-09-20T01:00:01.876Z,-USD,000056.556,000057.134,000054.061,141118.52562836,00000054.3,10658215.68012771
2021-09-20T02:00:02.151Z,-USD,000056.696,000057.134,000054.061,135865.01306509,000054.991,10665731.69506662
2021-09-20T03:00:02.274Z,-USD,000056.719,000057.134,000052.957,160049.25931957,000053.164,10694130.29252669
2021-09-20T04:00:02.153Z,-USD,000056.358,000057.134,000052.529,185997.58261846,00000052.8,10722514.69085415
2021-09-20T05:00:01.965Z,-USD,000056.642,000057.134,000052.217,194742.67011652,000053.209,10734849.88981695
2021-09-20T06:00:01.919Z,-USD,00000056.8,000057.134,000052.217,196766.74228268,000053.154,10739714.67792675
2021-09-20T07:00:02.042Z,-USD,0000056.84,000057.134,000052.217,198640.52924989,000052.727,10744728.89048364
2021-09-20T08:00:02.121Z,-USD,000056.859,000057.098,000051.272,212008.42877626,000051.655,10761239.55465197
2021-09-20T09:00:01.892Z,-USD,000057.077,000057.098,000051.272,216388.29603846,000052.385,10768313.54272991
2021-09-20T10:00:01.701Z,-USD,000056.876,000056.911,000051.272,218479.69193057,000051.603,10775760.521244
2021-09-20T11:00:02.361Z,-USD,0000056.56,0000056.56,0000050.95,229026.65729882,000051.004,10789295.6275998
2021-09-20T12:00:02.361Z,-USD,000055.765,000056.426,000048.264,275246.53981049,000049.475,10847744.06817108
2021-09-20T13:00:02.403Z,-USD,000055.854,000056.426,000047.227,307873.55600213,000049.191,10884835.51457689
2021-09-20T14:00:02.73Z,-USD,000055.906,000056.426,000047.227,320871.89577178,00000050.3,10905956.21344943
2021-09-20T15:00:01.832Z,-USD,000056.158,000056.426,000047.227,330251.89225741,00000050.0,10921741.75038539
2021-09-20T16:00:02.357Z,-USD,000056.134,000056.426,000047.227,343154.26666829,000050.659,10937815.81808618
2021-09-20T17:00:02.536Z,-USD,000056.042,000056.426,000047.227,345730.49194714,000050.303,10947406.32426054
2021-09-20T18:00:02.544Z,-USD,0000055.72,000056.426,000047.227,346223.68514958,000050.861,10954334.78928499
2021-09-20T19:00:02.469Z,-USD,000056.209,000056.303,000047.227,352989.62153494,0000049.58,10964470.79164008
2021-09-20T20:00:02.434Z,-USD,000055.693,000056.282,000047.227,362895.80071508,000049.918,10977112.6240617
2021-09-20T21:00:02.46Z,-USD,000056.222,000056.282,000047.227,369126.35786479,0000049.27,10986357.03356944
2021-09-20T22:00:02.44Z,-USD,000055.877,000056.143,000047.227,366879.64682984,000049.598,10990930.278448
2021-09-20T23:00:02.52Z,-USD,000054.942,000055.521,000047.227,361967.45481325,000049.376,10996919.33647288
2021-09-21T00:00:02.956Z,-USD,000055.382,000055.412,000047.227,373368.9284674,000049.009,11014916.82988638
2021-09-21T01:00:02.191Z,-USD,000054.323,000055.022,000046.171,397458.93467189,000047.095,10851756.84644094
