Coin on file:	FIL
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,00083.4099,00086.6952,000080.608,406244.979,00085.3126,13777862.732
2021-09-18T04:00:01.983Z,-USD,00083.8512,00086.6952,000080.608,0404208.55,00085.7693,13791783.335
2021-09-18T05:00:02.052Z,-USD,00084.5057,00086.6952,000080.608,405718.938,00086.2277,13802935.248
2021-09-18T06:00:02.083Z,-USD,00084.0996,00087.3515,000080.608,409588.585,00087.1381,13818359.903
2021-09-18T07:00:02.385Z,-USD,00084.2151,00087.3515,000080.608,402007.306,00086.1359,13827659.471
2021-09-18T08:00:02.626Z,-USD,00083.5827,00087.3515,000080.608,403246.703,00085.6953,13840541.882
2021-09-18T09:00:01.852Z,-USD,00083.9371,00087.3515,000080.608,395407.723,00085.6502,13851636.828
2021-09-18T10:00:01.968Z,-USD,00083.0564,00087.3515,000080.608,392529.995,00085.4261,13860977.182
2021-09-18T11:00:02.344Z,-USD,00081.6216,00087.3515,000080.608,367171.037,00085.7354,13866507.485
2021-09-18T12:00:02.46Z,-USD,00081.3348,00087.3515,000080.608,360166.208,00084.3241,13876368.373
2021-09-18T13:00:02.675Z,-USD,00081.9884,00087.3515,00081.4398,362390.635,00084.4178,13895944.693
2021-09-18T14:00:01.88Z,-USD,00081.9448,00087.3515,00081.6327,364721.861,00084.5375,13908787.324
2021-09-18T14:27:57.952Z,-USD,00082.4052,00087.3515,00081.6327,353688.724,00085.3919,13914316.291
2021-09-18T14:28:37.246Z,-USD,00082.4052,00087.3515,00081.6327,353969.089,00085.3591,13914596.656
2021-09-18T14:31:17.504Z,-USD,00082.4052,00087.3515,00081.6327,354365.505,000085.295,13914993.072
2021-09-18T15:00:02.118Z,-USD,00082.4052,00087.3515,00081.6327,362132.728,00085.2009,13922760.295
2021-09-18T16:00:02.322Z,-USD,00082.1633,00087.3515,00081.6327,362534.193,00085.0324,13932632.027
2021-09-18T17:00:02.107Z,-USD,000084.677,00087.3515,000082.652,337637.243,00084.1981,13943294.215
2021-09-18T18:00:07.221Z,-USD,00083.3327,00087.3515,000082.652,328856.439,00084.4008,13951599.756
2021-09-18T19:00:01.787Z,-USD,00085.0314,00087.3515,00083.7626,310728.582,00084.1746,13957046.448
2021-09-18T20:00:02.515Z,-USD,00084.0723,00087.3515,00083.5074,296949.939,000083.654,13963104.568
2021-09-18T21:00:02.121Z,-USD,000084.536,00087.3515,00082.6707,296701.952,00083.3523,13978117.059
2021-09-18T22:00:02.335Z,-USD,00084.4395,00087.3515,00082.6707,292245.649,00083.3809,13982473.426
