Coin on file:	LINK
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,0029.58561,00030.1318,0027.36956,3795658.75,00028.0284,107383805.09
2021-09-18T04:00:01.983Z,-USD,0029.73049,00030.1318,0027.36956,3754714.01,0028.27275,107460738.1
2021-09-18T05:00:02.052Z,-USD,0030.01779,00030.1318,0027.36956,3738968.14,0028.64614,107581743.28
2021-09-18T06:00:02.083Z,-USD,0030.05739,00030.1318,0027.36956,3764467.56,0029.12172,107723087.76
2021-09-18T07:00:02.385Z,-USD,0029.89934,0030.08714,0027.36956,3738552.51,0029.02148,107810008.41
2021-09-18T08:00:02.626Z,-USD,0029.51212,0029.96369,0027.36956,3696599.04,0028.96753,107878880.58
2021-09-18T09:00:01.852Z,-USD,0029.84404,0029.96369,0027.36956,3605146.84,0029.13623,107940280.83
2021-09-18T10:00:01.968Z,-USD,0029.32224,0029.42769,0027.36956,3580009.12,0029.15542,108027483.55
2021-09-18T11:00:02.344Z,-USD,0028.47471,00029.4641,0027.36956,03186007.4,0029.22061,108099464.86
2021-09-18T12:00:02.46Z,-USD,0028.35716,00029.4641,0027.36956,03081962.3,0028.88919,108177180.7
2021-09-18T13:00:02.675Z,-USD,000028.359,00029.4641,0027.36956,2921708.57,0028.91873,108271797.72
2021-09-18T14:00:01.88Z,-USD,0028.18102,00029.4641,0027.36956,2851066.06,000028.907,108411274.1
2021-09-18T14:27:57.952Z,-USD,0028.44914,00029.4641,0027.36956,2700224.16,0029.02775,108464301.5
2021-09-18T14:28:37.246Z,-USD,0028.44914,00029.4641,0027.36956,2703458.64,0029.01846,108467535.98
2021-09-18T14:31:17.504Z,-USD,0028.44914,00029.4641,0027.36956,2710563.52,0029.01741,108474640.86
2021-09-18T15:00:02.118Z,-USD,0028.44914,00029.4641,0027.36956,2753959.52,0028.89903,108518036.86
2021-09-18T16:00:02.322Z,-USD,0028.36557,00029.4641,0027.36956,2732756.88,0028.71022,108612473.12
2021-09-18T17:00:02.107Z,-USD,0028.61669,00029.4641,0027.36956,2714666.37,0028.46688,108770015.45
2021-09-18T18:00:07.221Z,-USD,0028.18094,00029.4641,0027.36956,2743856.28,0028.65662,108887255.09
2021-09-18T19:00:01.787Z,-USD,0028.15867,00029.4641,0027.36956,2588807.84,0028.49936,108995335.89
2021-09-18T20:00:02.515Z,-USD,0028.29006,00029.4641,0027.36956,2503241.08,0028.50655,109071759.9
2021-09-18T21:00:02.121Z,-USD,00027.7776,00029.4641,0027.36956,2621404.15,0028.04431,109291612.18
2021-09-18T22:00:02.335Z,-USD,0027.83957,00029.4641,0027.36956,2540360.37,0028.03777,109344476.53
2021-09-18T23:00:01.768Z,-USD,0027.45981,00029.4641,0027.39888,2488621.66,0028.20259,109408061.48
2021-09-19T00:00:02.394Z,-USD,0027.74286,00029.4641,0027.39888,2479423.44,0028.40382,109474698.92
2021-09-19T01:00:02.002Z,-USD,0027.82738,00029.4641,0027.70461,2381279.48,0027.95943,106515509.87
2021-09-19T02:00:02.019Z,-USD,0027.89465,00029.4641,0027.68646,2415133.93,0028.19748,106652128.55
2021-09-19T03:00:02.664Z,-USD,0028.05883,00029.4641,0027.68646,2364217.57,0028.14968,106694930.38
2021-09-19T04:00:02.654Z,-USD,0028.30703,00029.4641,0027.68646,2316791.16,0027.95077,106724392.09
2021-09-19T05:00:02.407Z,-USD,0028.63458,00029.4641,0027.68646,2228467.61,0028.00304,106757324.74
2021-09-19T06:00:02.187Z,-USD,0029.11042,00029.4641,0027.68646,2121153.66,0028.16009,106792266.18
2021-09-19T07:00:02.005Z,-USD,0029.09084,00029.4641,0027.68646,02071511.6,0028.34829,106828348.16
2021-09-19T08:00:02.143Z,-USD,0000028.97,00029.4641,0027.68646,02064669.0,0028.60291,106891639.34
2021-09-19T09:00:01.925Z,-USD,0029.12877,00029.4641,0027.68646,2060928.75,0028.69874,106947900.41
2021-09-19T10:00:01.868Z,-USD,0029.16814,00029.4641,0027.68646,2039565.87,0028.57591,107014417.83
2021-09-19T11:00:02.48Z,-USD,0029.20802,0029.38712,0027.68646,02023073.7,0028.29881,107069238.7
2021-09-19T12:00:02.523Z,-USD,0028.92347,0029.24286,0027.53466,2098244.78,00027.7218,107223552.17
2021-09-19T13:00:02.684Z,-USD,0028.89896,0029.18678,0027.53466,2137363.72,0027.81105,107356223.36
2021-09-19T14:00:02.607Z,-USD,0028.89989,0029.04465,0027.53466,2089709.19,0028.01599,107448508.11
2021-09-19T15:00:02.684Z,-USD,0028.86479,0028.89791,0027.53466,02042825.7,0028.05529,107507810.3
2021-09-19T16:00:02.634Z,-USD,0028.70539,0028.82928,0027.53466,2014605.91,0028.03895,107575495.83
2021-09-19T17:00:02.62Z,-USD,00028.4593,0028.79532,0027.53466,1916527.02,0028.01403,107634434.15
2021-09-19T18:00:01.7Z,-USD,0028.64554,0028.79532,0027.53466,1868552.53,0027.79642,107702879.02
2021-09-19T19:00:01.839Z,-USD,0028.48358,0028.79532,0027.53466,1845550.64,0027.91781,107788590.13
2021-09-19T20:00:01.841Z,-USD,0028.52718,0028.79532,0027.53466,1884970.82,00027.5824,107903557.72
2021-09-19T21:00:02.299Z,-USD,00028.0037,0028.79532,0027.50362,1779345.67,0027.74854,108017824.0
2021-09-19T22:00:02.24Z,-USD,0028.02455,0028.79532,0027.50362,1812969.52,0027.64127,108104489.32
2021-09-19T23:00:02.396Z,-USD,0028.21927,0028.79532,0026.93277,1955979.97,0027.15147,108310918.33
2021-09-20T00:00:01.696Z,-USD,0028.41098,0028.79532,0026.93277,1977780.97,0027.40482,108401360.4
2021-09-20T01:00:01.876Z,-USD,0027.96877,0028.79532,0026.50501,2151486.76,0026.65803,106508212.15
2021-09-20T02:00:02.151Z,-USD,0028.20353,0028.79532,0026.50501,2105772.11,0026.97994,106598713.92
2021-09-20T03:00:02.274Z,-USD,0028.16071,0028.79532,0000025.96,2424258.18,0026.08319,106959823.71
2021-09-20T04:00:02.153Z,-USD,0027.94123,0028.79532,00025.5846,2689947.02,0025.85872,107254970.21
2021-09-20T05:00:01.965Z,-USD,0028.01786,0028.79532,0025.53369,2835242.85,0026.04007,107433895.69
2021-09-20T06:00:01.919Z,-USD,0028.16151,0028.79532,0025.53369,2917065.48,0026.09804,107551018.34
2021-09-20T07:00:02.042Z,-USD,0028.37829,0028.79532,0025.53369,2972287.46,00025.8393,107641979.74
2021-09-20T08:00:02.121Z,-USD,00028.6264,0028.79532,0024.71045,3314933.16,0025.00547,108047833.33
2021-09-20T09:00:01.892Z,-USD,0028.68619,0028.79532,0024.71045,03398484.6,0025.46682,108187404.56
2021-09-20T10:00:01.701Z,-USD,0028.55972,0028.61533,0024.71045,3432222.21,00025.1024,108287770.84
2021-09-20T11:00:02.361Z,-USD,0028.33839,0000028.35,0024.71045,3547333.22,0024.96627,108457782.87
2021-09-20T12:00:02.361Z,-USD,0027.70112,0028.25531,0023.82503,3877193.98,00024.1716,108942678.76
2021-09-20T13:00:02.403Z,-USD,00027.8306,0028.25531,0000023.01,4372173.42,0024.16699,109569332.39
2021-09-20T14:00:02.73Z,-USD,0028.00385,0028.25531,0000023.01,4665951.72,0024.72161,109955349.39
2021-09-20T15:00:01.832Z,-USD,0028.04187,0028.25531,0000023.01,4875145.45,0024.37443,110226824.55
2021-09-20T16:00:02.357Z,-USD,0028.02314,0028.25531,0000023.01,5035421.46,0024.52722,110451665.47
2021-09-20T17:00:02.536Z,-USD,0028.01398,0028.14402,0000023.01,5215290.73,0024.51394,110690386.57
2021-09-20T18:00:02.544Z,-USD,00027.8137,0028.07984,0000023.01,5337806.37,0000024.59,110881403.79
2021-09-20T19:00:02.469Z,-USD,0027.94105,0027.98484,0000023.01,5554878.91,0023.90183,111184114.93
2021-09-20T20:00:02.434Z,-USD,0027.58752,00027.8142,0000023.01,5804912.95,00024.1355,111549465.62
2021-09-20T21:00:02.46Z,-USD,0027.72152,00027.8142,0000023.01,6050257.84,0023.79433,111908958.62
2021-09-20T22:00:02.44Z,-USD,0027.64459,00027.8142,0000023.01,6171303.22,0023.93167,112117960.66
2021-09-20T23:00:02.52Z,-USD,0027.13327,0027.42362,0000023.01,6146803.25,0023.69989,112298552.32
2021-09-21T00:00:02.956Z,-USD,0027.37993,0027.42362,0000023.01,6330460.35,0023.52866,112574775.69
2021-09-21T01:00:02.191Z,-USD,0026.66327,0027.01547,0000022.15,6930248.98,0022.47057,111390681.72
2021-09-21T02:00:01.777Z,-USD,0026.96006,0026.99859,0000022.15,7246999.24,0023.30839,111797503.81
2021-09-21T03:00:02.103Z,-USD,0000026.01,0026.26637,0000022.15,7148787.39,0023.75248,112062337.3
2021-09-21T04:00:02.34Z,-USD,0000025.81,0026.26637,0000022.15,6998962.07,0023.37375,112206710.57
2021-09-21T05:00:02.612Z,-USD,0026.01562,0026.26637,0000022.15,6984092.38,0022.99779,112369252.26
2021-09-21T06:00:02.518Z,-USD,00026.0682,0026.16974,0000022.15,7086069.96,00023.0317,112588680.01
2021-09-21T07:00:02.272Z,-USD,0025.83508,0025.99914,0000022.15,7140433.61,0023.42885,112737479.34
