Coin on file:	OMG
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,00008.6962,000008.754,00008.1307,01149894.2,00008.4599,75760093.6
2021-09-18T04:00:01.983Z,-USD,00008.7212,00008.7291,00008.1307,01134576.0,00008.5585,75787849.5
2021-09-18T05:00:02.052Z,-USD,00008.6807,000008.691,00008.1307,01135615.8,00008.6349,75829073.9
2021-09-18T06:00:02.083Z,-USD,00008.6675,00008.6908,00008.1307,01137293.4,00008.6731,75855908.2
2021-09-18T07:00:02.385Z,-USD,00008.6392,00008.7963,00008.1307,01135595.0,00008.7079,75904003.9
2021-09-18T08:00:02.626Z,-USD,00008.5074,00008.8253,00008.1307,01071262.6,00008.7501,75957521.5
2021-09-18T09:00:01.852Z,-USD,00008.5535,00008.8253,00008.1307,01051650.7,00008.7479,75973395.0
2021-09-18T10:00:01.968Z,-USD,000008.459,00008.8253,00008.1307,01024900.5,00008.6706,75997975.7
2021-09-18T11:00:02.344Z,-USD,00008.2635,00008.8253,00008.1307,00925223.5,00008.6913,76010093.0
2021-09-18T12:00:02.46Z,-USD,00008.2366,00008.8253,00008.1307,00899483.9,00008.6307,76041736.0
2021-09-18T13:00:02.675Z,-USD,00008.3131,00008.8253,000008.223,00903912.9,00008.5922,76113481.5
2021-09-18T14:00:01.88Z,-USD,00008.2896,00008.8253,00008.2581,00877953.1,00008.5812,76143532.0
2021-09-18T14:27:57.952Z,-USD,00008.4443,00008.8253,00008.2581,00835103.8,00008.6281,76163133.8
2021-09-18T14:28:37.246Z,-USD,00008.4443,00008.8253,00008.2581,00836815.8,00008.6376,76164845.8
2021-09-18T14:31:17.504Z,-USD,00008.4443,00008.8253,00008.2581,00838748.8,00008.6317,76166778.8
2021-09-18T15:00:02.118Z,-USD,00008.4443,00008.8253,00008.2581,00856959.6,00008.5904,76184989.6
