Coin on file:	SNX
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,00014.3552,00014.4692,00012.4429,1985091.254,00012.8765,41167849.972
2021-09-18T04:00:01.983Z,-USD,00014.3591,00014.4692,00012.4429,1985096.955,00012.9551,41191635.202
2021-09-18T05:00:02.052Z,-USD,00014.4144,00014.4615,00012.4429,2000399.366,00013.0489,41237702.83
2021-09-18T06:00:02.083Z,-USD,00014.3137,00014.3338,00012.4429,2015036.275,00013.2018,41275146.332
2021-09-18T07:00:02.385Z,-USD,0000014.09,00014.2768,00012.4429,1962334.296,00013.1016,41294799.438
2021-09-18T08:00:02.626Z,-USD,00013.8579,00014.0693,00012.4429,1925933.384,000013.318,41326508.566
2021-09-18T09:00:01.852Z,-USD,00014.0263,00014.0682,00012.4429,1868233.155,00013.2363,41356691.752
2021-09-18T10:00:01.968Z,-USD,00013.7094,00013.8122,00012.4429,1939407.634,000013.244,41487994.433
2021-09-18T11:00:02.344Z,-USD,00013.3364,00013.5906,00012.4429,1965763.197,00013.4883,41654030.708
2021-09-18T12:00:02.46Z,-USD,00012.9898,00000013.6,00012.4429,1898788.626,00013.2901,41701934.926
2021-09-18T13:00:02.675Z,-USD,00012.9514,00000013.6,00012.4429,1822090.672,00013.1863,41756209.885
2021-09-18T14:00:01.88Z,-USD,00012.9901,00000013.6,00012.4429,1792783.324,00013.1296,41787681.542
2021-09-18T14:27:57.952Z,-USD,00013.0428,00000013.6,00012.4429,1713101.267,00013.1496,41797866.964
2021-09-18T14:28:37.246Z,-USD,00013.0428,00000013.6,00012.4429,1713457.404,00013.1733,41798223.101
2021-09-18T14:31:17.504Z,-USD,00013.0428,00000013.6,00012.4429,1714681.058,00013.1523,41799446.755
2021-09-18T15:00:02.118Z,-USD,00013.0428,00000013.6,00012.4429,1723971.459,00013.1028,41808737.156
2021-09-18T16:00:02.322Z,-USD,00013.1239,00000013.6,00012.4429,1786797.667,00012.9685,41970728.066
2021-09-18T17:00:02.107Z,-USD,00013.2398,00000013.6,00012.4429,1738188.588,00012.8146,42010926.437
2021-09-18T18:00:07.221Z,-USD,00012.9881,00000013.6,00012.4429,1698713.752,00012.9783,42035773.754
2021-09-18T19:00:01.787Z,-USD,00013.0009,00000013.6,00012.4429,1630400.102,00012.8258,42067223.76
2021-09-18T20:00:02.515Z,-USD,00013.1295,00000013.6,00012.4429,1598106.603,00012.7666,42104833.493
2021-09-18T21:00:02.121Z,-USD,00012.8401,00000013.6,00012.4429,1508957.679,00012.6016,42167149.882
2021-09-18T22:00:02.335Z,-USD,00012.7466,00000013.6,00012.4429,1472257.652,0000012.45,42223740.745
2021-09-18T23:00:01.768Z,-USD,00012.4861,00000013.6,00012.3535,1438780.333,0000012.44,42301730.846
2021-09-19T00:00:02.394Z,-USD,00012.7917,00000013.6,00012.3535,1365332.242,00012.5972,42341161.256
2021-09-19T01:00:02.002Z,-USD,000012.734,00000013.6,00012.3535,1336492.291,00012.3791,41220960.692
2021-09-19T02:00:02.019Z,-USD,00012.9175,00000013.6,00012.2465,1319660.679,00012.4263,41264794.905
