Coin on file:	SOL
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000146.449,0000150.04,00000134.1,3795736.854,0000145.55,97598853.033
2021-09-18T04:00:01.983Z,-USD,000148.427,0000150.04,00000134.1,3746677.332,000145.054,97696817.944
2021-09-18T05:00:02.052Z,-USD,000148.946,0000150.04,00000134.1,3764922.108,000147.421,97819856.526
2021-09-18T06:00:02.083Z,-USD,000149.318,000149.387,00000134.1,3787007.458,000146.612,97900270.894
2021-09-18T07:00:02.385Z,-USD,0000146.39,000156.237,00000134.1,3956652.013,000155.769,98140389.049
2021-09-18T08:00:02.626Z,-USD,0000143.31,000158.858,00000134.1,4042314.129,000158.128,98344742.877
2021-09-18T09:00:01.852Z,-USD,0000143.44,0000161.86,00000134.1,4141845.43,000159.067,98537548.757
2021-09-18T10:00:01.968Z,-USD,000138.906,0000161.86,00000134.1,4095505.367,000158.342,98750945.328
2021-09-18T11:00:02.344Z,-USD,000137.331,0000161.86,000136.146,3948475.553,000160.385,98893656.514
2021-09-18T12:00:02.46Z,-USD,000138.854,000164.826,0000137.03,3934330.597,000160.762,99106053.8
2021-09-18T13:00:02.675Z,-USD,000139.974,000164.826,000137.416,3914773.356,000160.512,99272828.685
2021-09-18T14:00:01.88Z,-USD,000138.966,000164.826,000138.556,3925067.546,000162.983,99412393.543
2021-09-18T14:27:57.952Z,-USD,000141.381,000164.826,000138.635,3868356.941,00000162.0,99473639.545
2021-09-18T14:28:37.246Z,-USD,000141.381,000164.826,000138.635,3869714.981,000162.067,99474997.585
2021-09-18T14:31:17.504Z,-USD,000141.381,000164.826,000138.635,3874077.228,000161.883,99479359.832
2021-09-18T15:00:02.118Z,-USD,000141.381,000164.826,000138.635,3957931.727,000161.983,99563214.331
2021-09-18T16:00:02.322Z,-USD,0000144.73,000164.826,000138.635,3917947.065,000163.772,99769039.653
2021-09-18T17:00:02.107Z,-USD,000144.793,000165.503,000138.635,3962664.413,000161.696,99986435.217
2021-09-18T18:00:07.221Z,-USD,000141.255,000165.503,000138.635,3956592.113,000164.049,100162785.947
2021-09-18T19:00:01.787Z,-USD,000141.634,000165.503,00000140.5,3858892.183,000163.908,100300711.453
2021-09-18T20:00:02.515Z,-USD,00000144.7,000165.503,00000140.5,3777499.881,000162.716,100419472.65
2021-09-18T21:00:02.121Z,-USD,000142.116,000165.503,00000140.5,3834584.071,000160.714,100576117.199
2021-09-18T22:00:02.335Z,-USD,0000143.38,000165.503,000143.364,3827236.988,000161.887,100674153.591
2021-09-18T23:00:01.768Z,-USD,000144.908,000165.503,00000144.2,3815048.305,000164.355,100839291.215
2021-09-19T00:00:02.394Z,-USD,000147.619,000171.726,00000144.2,3949116.352,000169.551,101159475.098
2021-09-19T01:00:02.002Z,-USD,000146.035,000171.726,00000144.2,4011348.746,000168.876,99115348.423
2021-09-19T02:00:02.019Z,-USD,000148.001,000171.726,00000144.2,4097255.867,000167.371,99337984.178
2021-09-19T03:00:02.664Z,-USD,000145.507,000171.726,00000144.2,4058326.291,000166.144,99420361.799
2021-09-19T04:00:02.654Z,-USD,000145.013,000171.726,00000144.2,4084364.087,000164.308,99543786.924
2021-09-19T05:00:02.407Z,-USD,000147.507,000171.726,000145.571,4047806.227,000162.634,99632425.238
2021-09-19T06:00:02.187Z,-USD,0000146.45,000171.726,000146.098,4045190.047,000164.371,99708182.591
2021-09-19T07:00:02.005Z,-USD,000155.558,000171.726,000154.446,3861035.772,000161.806,99764876.308
2021-09-19T08:00:02.143Z,-USD,00000157.7,000171.726,0000157.19,3738858.075,0000161.59,99851766.905
2021-09-19T09:00:01.925Z,-USD,000159.052,000171.726,0000157.19,3610622.475,000162.757,99910931.487
2021-09-19T10:00:01.868Z,-USD,000158.307,000171.726,0000157.67,3433140.216,000162.011,99947186.628
2021-09-19T11:00:02.48Z,-USD,000160.717,000171.726,0000157.67,3379864.372,000159.895,100036670.486
2021-09-19T12:00:02.523Z,-USD,000161.028,000171.726,000155.015,3352771.409,000156.262,100222051.003
2021-09-19T13:00:02.684Z,-USD,000160.476,000171.726,000155.015,3288729.12,0000158.84,100325911.595
2021-09-19T14:00:02.607Z,-USD,000163.058,000171.726,000155.015,3279590.321,000159.516,100455650.393
2021-09-19T15:00:02.684Z,-USD,000161.837,000171.726,000155.015,3216069.612,000161.729,100542347.191
2021-09-19T16:00:02.634Z,-USD,000163.853,000171.726,000155.015,3068836.373,0000159.63,100600837.311
2021-09-19T17:00:02.62Z,-USD,000161.433,000171.726,000155.015,2969487.783,000157.273,100718732.07
2021-09-19T18:00:01.7Z,-USD,000163.989,000171.726,000155.015,2857978.401,000156.909,100783510.104
2021-09-19T19:00:01.839Z,-USD,000164.125,000171.726,000155.015,2780335.157,0000157.65,100844921.364
2021-09-19T20:00:01.841Z,-USD,000162.723,000171.726,000153.089,2756985.707,000154.201,100939121.932
2021-09-19T21:00:02.299Z,-USD,000160.301,000171.726,000153.089,2660916.808,000156.301,100999744.227
2021-09-19T22:00:02.24Z,-USD,000161.777,000171.726,000153.089,2597600.72,000154.733,101034421.587
2021-09-19T23:00:02.396Z,-USD,000164.343,000171.726,0000150.66,2578976.405,0000152.01,101181136.389
2021-09-20T00:00:01.696Z,-USD,000169.391,0000171.06,0000150.66,2365137.416,000152.738,101288272.543
2021-09-20T01:00:01.876Z,-USD,000168.812,000168.855,000147.601,2347667.736,000149.323,99902657.931
2021-09-20T02:00:02.151Z,-USD,000167.722,000167.808,000147.601,2248224.67,000151.704,100025370.443
2021-09-20T03:00:02.274Z,-USD,000166.028,000166.342,00000145.0,2340068.139,000146.752,100199297.746
2021-09-20T04:00:02.153Z,-USD,000164.306,000165.218,000142.214,2449572.092,000145.375,100432841.261
2021-09-20T05:00:01.965Z,-USD,000162.496,000164.496,000141.553,2536588.401,000145.034,100607966.619
2021-09-20T06:00:01.919Z,-USD,000164.355,000164.423,000141.553,2546238.412,000145.367,100693421.039
2021-09-20T07:00:02.042Z,-USD,000161.942,000163.593,000141.553,2552004.744,000143.513,100755860.85
2021-09-20T08:00:02.121Z,-USD,000161.704,000163.593,00000137.0,2644331.875,000138.961,100934973.208
2021-09-20T09:00:01.892Z,-USD,000162.919,000163.265,00000137.0,2691743.994,000141.581,101042004.469
2021-09-20T10:00:01.701Z,-USD,000162.012,00000162.7,00000137.0,2722190.487,000139.807,101108254.454
2021-09-20T11:00:02.361Z,-USD,000159.995,000162.259,00000137.0,2775139.282,000140.334,101251333.092
2021-09-20T12:00:02.361Z,-USD,000156.123,000162.259,00000135.0,2823638.696,000137.571,101485079.405
2021-09-20T13:00:02.403Z,-USD,000159.075,000162.259,000130.275,3013267.736,000138.622,101778453.28
2021-09-20T14:00:02.73Z,-USD,000159.583,000162.259,000130.275,3259770.536,000144.862,102154394.603
2021-09-20T15:00:01.832Z,-USD,000161.547,0000162.08,000130.275,3487234.069,000143.118,102468430.032
2021-09-20T16:00:02.357Z,-USD,000159.449,000160.325,000130.275,3579158.029,000144.564,102620501.225
2021-09-20T17:00:02.536Z,-USD,000157.085,000159.189,000130.275,3609040.81,000143.112,102766725.123
2021-09-20T18:00:02.544Z,-USD,000156.988,000159.189,000130.275,3634307.429,0000144.69,102856733.084
2021-09-20T19:00:02.469Z,-USD,000157.649,000158.221,000130.275,3792480.923,000138.097,103076489.166
2021-09-20T20:00:02.434Z,-USD,0000154.35,000156.774,000130.275,4212450.938,000138.613,103590689.247
2021-09-20T21:00:02.46Z,-USD,000156.338,000156.643,000130.275,4304156.108,000137.901,103742814.639
2021-09-20T22:00:02.44Z,-USD,000154.893,000155.188,000130.275,4366320.541,0000138.32,103839740.792
2021-09-20T23:00:02.52Z,-USD,00000151.9,0000154.21,000130.275,4361369.524,000137.071,103981537.569
2021-09-21T00:00:02.956Z,-USD,0000152.81,000153.432,000130.275,4575184.958,000132.256,104302475.064
2021-09-21T01:00:02.191Z,-USD,000149.285,000152.511,00000125.0,4947044.847,000132.301,103930140.939
2021-09-21T02:00:01.777Z,-USD,0000151.54,000151.874,00000125.0,5092639.443,000138.796,104198920.975
2021-09-21T03:00:02.103Z,-USD,0000146.48,000147.461,00000125.0,5061590.849,000139.756,104343519.408
2021-09-21T04:00:02.34Z,-USD,000145.114,000147.461,00000125.0,4946154.967,000136.682,104459384.595
2021-09-21T05:00:02.612Z,-USD,000144.974,000147.461,00000125.0,4876415.428,000135.187,104564909.754
2021-09-21T06:00:02.518Z,-USD,000145.201,000147.461,00000125.0,4922244.02,000137.269,104696077.429
2021-09-21T07:00:02.272Z,-USD,000143.474,000147.461,00000125.0,4950255.941,000141.169,104786409.287
2021-09-21T08:00:02.419Z,-USD,000139.192,000147.461,00000125.0,4881709.197,000142.984,104899760.255
2021-09-21T09:00:02.545Z,-USD,000141.188,000147.461,00000125.0,4865813.93,000143.378,104988910.089
2021-09-21T10:00:02.395Z,-USD,000140.006,000147.461,00000125.0,4873354.195,000141.109,105062817.239
2021-09-21T11:00:02.6Z,-USD,0000140.33,000147.461,00000125.0,4795449.706,000143.685,105127261.013
2021-09-21T12:00:02.507Z,-USD,000137.466,000147.461,00000125.0,4648119.759,000142.699,105213712.766
2021-09-21T13:00:02.679Z,-USD,00000139.0,000147.461,00000125.0,4473911.465,0000140.17,105334840.998
2021-09-21T14:00:01.857Z,-USD,000145.112,000147.461,00000125.0,4214751.34,000140.497,105451377.29
2021-09-21T15:00:02.144Z,-USD,000143.151,000146.274,00000125.0,4067472.284,000136.699,105617140.548
2021-09-21T16:00:02.617Z,-USD,000144.064,000146.125,00000125.0,4017103.073,000138.568,105719060.798
2021-09-21T17:00:03.462Z,-USD,0000143.15,000145.378,00000125.0,04016310.8,0000134.17,105863356.5
2021-09-21T18:00:01.824Z,-USD,000144.714,000145.027,00000125.0,4144136.065,000130.509,106081539.881
2021-09-21T19:00:02.438Z,-USD,000138.335,000144.653,00000125.0,4102007.829,000130.813,106260121.299
2021-09-21T20:00:02.298Z,-USD,000138.681,000144.653,00000125.0,3791996.589,000127.502,106465796.138
2021-09-21T21:00:01.766Z,-USD,000137.878,000144.653,00000121.5,4215282.452,000122.804,107038671.099
2021-09-21T22:00:02.225Z,-USD,000138.197,000144.653,00000116.0,4674508.206,000127.197,107594778.034
2021-09-21T23:00:02.124Z,-USD,000137.127,000144.653,00000116.0,4768146.889,000122.428,107830477.252
2021-09-22T00:00:02.323Z,-USD,000132.622,000144.653,00000116.0,4645840.339,000123.964,108029879.921
2021-09-22T01:00:02.686Z,-USD,000132.332,000144.653,00000116.0,04409616.3,000124.541,106987235.892
2021-09-22T02:00:01.838Z,-USD,000138.776,000144.653,00000116.0,4467749.164,000130.222,107313397.219
2021-09-22T03:00:02.496Z,-USD,000139.515,000144.653,00000116.0,4436132.574,0000129.06,107426036.856
2021-09-22T04:00:01.855Z,-USD,000136.409,000144.653,00000116.0,4437169.626,000128.907,107543135.542
2021-09-22T05:00:01.961Z,-USD,000135.445,000144.653,00000116.0,4454701.612,00000127.8,107665913.308
2021-09-22T06:00:02.356Z,-USD,000137.509,000144.653,00000116.0,4417846.722,000129.767,107760409.622
2021-09-22T07:00:02.359Z,-USD,000141.547,000144.653,00000116.0,4453575.956,000131.995,107886702.908
2021-09-22T08:00:02.458Z,-USD,000143.233,000144.653,00000116.0,4473152.463,000133.129,108020302.079
2021-09-22T09:00:03.657Z,-USD,000143.559,00000144.3,00000116.0,4449017.937,000132.424,108084452.232
2021-09-22T10:00:01.805Z,-USD,000141.167,00000144.3,00000116.0,4438928.038,000132.558,108148530.094
2021-09-22T11:00:02.368Z,-USD,0000143.65,000144.229,00000116.0,4454216.602,000130.637,108227864.389
2021-09-22T12:00:02.378Z,-USD,000142.819,000143.423,00000116.0,4497359.77,00000128.8,108357630.166
2021-09-22T13:00:02.638Z,-USD,000139.781,00000142.0,00000116.0,4461737.439,0000129.74,108451106.084
2021-09-22T14:00:01.835Z,-USD,000140.391,000140.611,00000116.0,4514627.85,000130.963,108613301.128
2021-09-22T15:00:01.945Z,-USD,000136.762,000138.634,00000116.0,4631346.991,000136.759,108897515.312
2021-09-22T16:00:02.268Z,-USD,000138.534,000142.707,00000116.0,5018102.936,000141.829,109383703.12
2021-09-22T17:00:02.156Z,-USD,000134.202,000143.797,00000116.0,5078897.149,000143.337,109588595.431
2021-09-22T18:00:02.557Z,-USD,000130.449,000145.431,00000116.0,5178809.956,000143.384,109907135.626
2021-09-22T19:00:02.158Z,-USD,0000130.62,000152.408,00000116.0,5583699.879,000143.804,110490349.747
2021-09-22T20:00:02.676Z,-USD,0000127.18,000152.408,00000116.0,5588880.445,0000146.32,110703944.516
2021-09-22T21:00:01.933Z,-USD,000123.021,000152.408,00000116.0,5163101.872,000147.082,110849186.339
2021-09-22T22:00:02.514Z,-USD,000127.111,000152.408,000121.339,4799818.012,000146.049,111041092.984
2021-09-22T23:00:02.005Z,-USD,000122.752,000152.408,000121.339,4671226.58,0000147.85,111148567.052
2021-09-23T00:00:03.545Z,-USD,000124.219,000152.408,000122.105,4595923.638,000148.168,111273397.468
2021-09-23T01:00:02.49Z,-USD,000124.766,000152.408,0000123.46,4454106.765,000145.324,109231356.168
2021-09-23T02:00:02.357Z,-USD,000130.497,000152.408,000126.703,4237670.346,000147.302,109337986.21
2021-09-23T03:00:02.712Z,-USD,0000128.87,000152.408,000126.703,4203677.296,000147.119,109416932.914
2021-09-23T04:00:01.926Z,-USD,000128.994,000152.408,000126.703,4188558.618,000148.867,109519059.365
