Coin on file:	SUSHI
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,000014.519,000014.748,000012.106,05933678.8,000012.565,54128126.07
2021-09-18T04:00:01.983Z,-USD,000014.582,000014.748,000012.106,5964186.97,000012.664,54242159.42
2021-09-18T05:00:02.052Z,-USD,000014.662,000014.748,000012.106,5944697.65,000012.824,54395150.79
2021-09-18T06:00:02.083Z,-USD,000014.066,000014.388,000012.106,5280009.09,000013.012,54491064.41
2021-09-18T07:00:02.385Z,-USD,000014.278,000014.388,000012.106,4898466.01,000012.924,54568725.58
2021-09-18T08:00:02.626Z,-USD,000013.948,0000014.21,000012.106,4875142.18,0000012.91,54612353.33
2021-09-18T09:00:01.852Z,-USD,000014.136,000014.177,000012.106,04915455.4,000012.793,54700253.5
2021-09-18T10:00:01.968Z,-USD,000013.794,000013.804,000012.106,4964415.64,000012.864,54817390.85
2021-09-18T11:00:02.344Z,-USD,000013.403,0000013.68,000012.106,4651261.16,000012.929,54881783.49
2021-09-18T12:00:02.46Z,-USD,000013.022,000013.576,000012.106,4389025.76,000012.987,55004025.61
2021-09-18T13:00:02.675Z,-USD,000013.231,000013.576,000012.106,4054009.12,000012.985,55088925.2
2021-09-18T14:00:01.88Z,-USD,000013.251,000013.576,000012.106,3949270.58,000013.026,55172046.94
2021-09-18T14:27:57.952Z,-USD,000013.162,000013.414,000012.106,3781467.17,000013.029,55194136.21
2021-09-18T14:28:37.246Z,-USD,000013.162,000013.414,000012.106,3781489.91,000013.024,55194158.95
2021-09-18T14:31:17.504Z,-USD,000013.162,000013.414,000012.106,3782651.81,000013.031,55195320.85
2021-09-18T15:00:02.118Z,-USD,000013.162,000013.414,000012.106,3819101.42,000013.002,55231770.46
2021-09-18T16:00:02.322Z,-USD,000012.978,000013.414,000012.106,3622963.59,000012.911,55309377.56
2021-09-18T17:00:02.107Z,-USD,000013.231,000013.368,000012.106,3654633.04,000012.793,55600209.28
2021-09-18T18:00:07.221Z,-USD,000013.127,000013.368,000012.106,3600492.54,000012.882,55661316.19
2021-09-18T19:00:01.787Z,-USD,000013.242,000013.368,000012.106,3575889.04,00000012.6,55849110.7
2021-09-18T20:00:02.515Z,-USD,0000013.27,00000013.3,000012.106,3425665.33,000012.635,55900016.27
2021-09-18T21:00:02.121Z,-USD,0000012.84,000013.296,000012.106,3294709.16,000012.486,55932653.53
2021-09-18T22:00:02.335Z,-USD,000012.702,000013.296,000012.106,3107591.56,000012.417,55960307.39
2021-09-18T23:00:01.768Z,-USD,000012.348,000013.296,000012.106,2993018.48,000012.495,56037914.95
2021-09-19T00:00:02.394Z,-USD,000012.525,000013.296,000012.106,02852570.8,000012.697,56114699.52
2021-09-19T01:00:02.002Z,-USD,000012.392,000013.296,000012.329,2606823.71,0000012.46,54934880.75
2021-09-19T02:00:02.019Z,-USD,000012.723,000013.296,000012.257,2288122.02,000012.488,55005178.65
2021-09-19T03:00:02.664Z,-USD,000012.562,000013.296,000012.257,2164825.26,000012.532,55051026.68
2021-09-19T04:00:02.654Z,-USD,000012.664,000013.296,000012.257,2064831.36,000012.352,55065945.35
2021-09-19T05:00:02.407Z,-USD,000012.833,000013.296,000012.211,01966769.2,000012.324,55121130.17
2021-09-19T06:00:02.187Z,-USD,000013.031,000013.296,000012.211,1880414.48,000012.424,55129226.7
2021-09-19T07:00:02.005Z,-USD,000012.997,000013.296,000012.211,1814507.64,000012.459,55143182.99
2021-09-19T08:00:02.143Z,-USD,000012.923,000013.296,000012.211,1788715.57,000012.468,55158763.54
2021-09-19T09:00:01.925Z,-USD,000012.792,000013.296,000012.211,1713254.38,000012.511,55171241.09
2021-09-19T10:00:01.868Z,-USD,000012.909,000013.296,000012.211,1618439.55,000012.398,55194235.74
2021-09-19T11:00:02.48Z,-USD,000012.928,000013.296,000012.211,1582507.27,000012.432,55222050.44
2021-09-19T12:00:02.523Z,-USD,000013.002,000013.296,000011.808,1593633.43,000011.977,55355729.38
2021-09-19T13:00:02.684Z,-USD,000012.979,000013.296,000011.781,1590035.41,000011.962,55437175.5
2021-09-19T14:00:02.607Z,-USD,000013.045,000013.138,000011.781,1556949.14,000012.105,55486985.77
2021-09-19T15:00:02.684Z,-USD,000013.006,000013.014,000011.781,1552366.16,000012.093,55541911.31
2021-09-19T16:00:02.634Z,-USD,000012.945,000012.964,000011.781,1514928.52,000012.087,55583172.54
2021-09-19T17:00:02.62Z,-USD,000012.784,000012.906,000011.781,1300299.12,000012.057,55659222.73
2021-09-19T18:00:01.7Z,-USD,000012.872,000012.872,000011.781,1311434.58,000011.964,55730450.21
2021-09-19T19:00:01.839Z,-USD,000012.581,000012.726,000011.781,1169394.91,000012.084,55776645.1
2021-09-19T20:00:01.841Z,-USD,000012.632,000012.726,000011.781,1180463.32,0000011.96,55838674.53
2021-09-19T21:00:02.299Z,-USD,000012.459,000012.726,000011.781,1257956.05,0000012.22,55948349.42
2021-09-19T22:00:02.24Z,-USD,000012.434,000012.726,000011.781,1324488.79,000012.238,56043265.96
2021-09-19T23:00:02.396Z,-USD,000012.508,000012.726,000011.781,1341911.28,000011.843,56137724.12
2021-09-20T00:00:01.696Z,-USD,000012.689,0000012.72,000011.781,1296828.52,000012.043,56169544.18
2021-09-20T01:00:01.876Z,-USD,000012.472,000012.615,000011.557,1363410.69,000011.624,53879851.04
2021-09-20T02:00:02.151Z,-USD,000012.454,000012.615,000011.557,1365078.37,000011.759,53951740.61
2021-09-20T03:00:02.274Z,-USD,000012.521,000012.553,000011.226,1619480.84,000011.239,54251912.02
2021-09-20T04:00:02.153Z,-USD,0000012.35,000012.553,000011.028,1819765.38,000011.241,54467180.74
2021-09-20T05:00:01.965Z,-USD,000012.305,000012.553,00000011.0,1872877.81,000011.215,54575936.88
2021-09-20T06:00:01.919Z,-USD,000012.429,000012.553,00000011.0,1910681.15,000011.205,54621438.89
2021-09-20T07:00:02.042Z,-USD,000012.477,000012.553,0000010.99,2031407.86,000011.082,54756010.1
2021-09-20T08:00:02.121Z,-USD,0000012.48,000012.546,0000010.62,2185712.56,000010.773,54925989.69
2021-09-20T09:00:01.892Z,-USD,000012.504,000012.546,0000010.62,2332456.27,000011.097,55085150.12
2021-09-20T10:00:01.701Z,-USD,000012.391,000012.447,0000010.62,2458429.19,0000011.04,55234127.39
2021-09-20T11:00:02.361Z,-USD,000012.413,000012.421,0000010.62,2505992.34,000010.984,55309945.2
2021-09-20T12:00:02.361Z,-USD,000011.967,0000012.35,000010.246,2584984.35,000010.428,55522689.12
2021-09-20T13:00:02.403Z,-USD,0000011.94,0000012.35,000009.903,2767475.03,000010.505,55786248.99
2021-09-20T14:00:02.73Z,-USD,0000012.12,0000012.35,000009.903,2872934.52,000010.739,55941364.52
2021-09-20T15:00:01.832Z,-USD,000012.091,0000012.35,000009.903,2924595.43,000010.568,56048193.24
2021-09-20T16:00:02.357Z,-USD,000012.063,0000012.35,000009.903,3018700.97,000010.757,56183500.83
