Coin on file:	ZEC
Created by:	chris
Created on:	09/18/2021T03:00:1631948402Z

Recorded,Currency,Open,High,Low,Volume,Last,Volume30day
2021-09-18T03:00:02.659Z,-USD,0000137.45,0000140.21,00000132.6,19515.97397517,0000135.17,770048.76359016
2021-09-18T04:00:01.983Z,-USD,0000138.23,0000140.21,00000132.6,19471.66821507,0000137.09,771737.40996869
2021-09-18T05:00:02.052Z,-USD,0000138.47,0000143.56,00000132.6,21402.58404195,00000141.1,774523.52635968
2021-09-18T06:00:02.083Z,-USD,0000138.28,0000143.83,00000132.6,23826.34837518,0000143.24,777159.09452796
2021-09-18T07:00:02.385Z,-USD,00000139.2,0000143.92,00000132.6,24481.64149453,0000140.54,777928.44484728
2021-09-18T08:00:02.626Z,-USD,0000137.09,0000143.92,00000132.6,25351.91868919,0000140.64,779345.36062731
2021-09-18T09:00:01.852Z,-USD,0000138.47,0000143.92,00000132.6,27657.75225047,0000141.08,781785.54210859
2021-09-18T10:00:01.968Z,-USD,0000137.19,0000143.92,00000132.6,26002.06302219,0000140.05,781918.34775859
2021-09-18T11:00:02.344Z,-USD,0000134.72,0000143.92,00000132.6,25763.39389794,0000140.47,782336.06176361
2021-09-18T12:00:02.46Z,-USD,0000133.68,0000143.92,00000132.6,25083.37176078,0000138.98,782575.22354557
2021-09-18T13:00:02.675Z,-USD,0000134.89,0000143.92,00000132.6,23862.37561064,0000139.64,783120.49045113
2021-09-18T14:00:01.88Z,-USD,0000134.63,0000143.92,00000132.6,22391.34059827,0000139.49,783460.96641977
2021-09-18T14:27:57.952Z,-USD,0000136.03,0000143.92,00000132.6,20475.45552205,0000141.24,783869.81563922
2021-09-18T14:28:37.246Z,-USD,0000136.03,0000143.92,00000132.6,20499.37257205,0000141.36,783893.73268922
2021-09-18T14:31:17.504Z,-USD,0000136.03,0000143.92,00000132.6,20505.58905205,0000141.32,783899.94916922
2021-09-18T15:00:02.118Z,-USD,0000136.03,0000143.92,00000132.6,20640.93328118,0000140.67,784035.29339835
2021-09-18T16:00:02.322Z,-USD,00000136.5,0000143.92,00000132.6,20637.5428996,00000140.3,784399.57526951
2021-09-18T17:00:02.107Z,-USD,0000137.01,0000143.92,00000132.6,20886.1806745,00000138.6,784883.61690934
2021-09-18T18:00:07.221Z,-USD,0000134.81,0000143.92,00000132.6,20326.3643742,0000139.37,785104.59928963
2021-09-18T19:00:01.787Z,-USD,0000134.81,0000143.92,00000132.6,19748.50650425,0000138.92,785253.17820411
2021-09-18T20:00:02.515Z,-USD,0000135.14,0000143.92,00000132.6,20008.64020063,0000138.96,785821.69630424
2021-09-18T21:00:02.121Z,-USD,00000133.0,0000143.92,00000132.6,20977.5737028,0000137.37,787016.56652834
2021-09-18T22:00:02.335Z,-USD,0000133.77,0000143.92,00000132.6,20862.77257251,0000136.99,787447.22195248
2021-09-18T23:00:01.768Z,-USD,0000132.76,0000143.92,00000132.6,20790.03692771,0000137.64,787664.42050247
2021-09-19T00:00:02.394Z,-USD,0000133.65,0000143.92,00000132.6,21201.71272804,0000138.86,788580.56577409
2021-09-19T01:00:02.002Z,-USD,0000135.02,0000143.92,0000133.65,21101.38590834,0000137.56,764497.89530926
2021-09-19T02:00:02.019Z,-USD,0000135.05,0000143.92,0000134.76,21122.22439053,0000138.78,766177.34354906
2021-09-19T03:00:02.664Z,-USD,00000135.3,0000143.92,0000135.24,20998.97904258,0000138.64,766688.12782349
2021-09-19T04:00:02.654Z,-USD,0000137.04,0000143.92,0000136.52,19466.56570187,0000137.86,766826.47086131
2021-09-19T05:00:02.407Z,-USD,0000141.74,0000143.92,0000136.52,16719.03156196,0000138.39,766932.21205239
2021-09-19T06:00:02.187Z,-USD,0000143.71,0000143.92,0000136.52,14522.24098139,0000139.53,767297.9574001
2021-09-19T07:00:02.005Z,-USD,0000141.01,0000142.11,0000136.52,14164.6710327,0000139.72,767720.40492073
2021-09-19T08:00:02.143Z,-USD,0000141.01,0000142.11,0000136.52,13000.94497494,0000139.82,767969.901253
2021-09-19T09:00:01.925Z,-USD,0000141.06,0000141.79,0000136.52,10749.79557366,0000140.27,768151.832873
2021-09-19T10:00:01.868Z,-USD,0000139.98,0000141.79,0000136.52,10660.04648871,0000140.91,768195.14454805
2021-09-19T11:00:02.48Z,-USD,0000140.89,0000141.79,0000136.52,10445.68547176,0000140.54,768398.78334832
2021-09-19T12:00:02.523Z,-USD,0000139.62,0000141.79,0000135.81,10560.48487992,0000136.37,768767.96186624
2021-09-19T13:00:02.684Z,-USD,0000139.65,0000141.79,0000135.79,10264.64496062,0000136.65,769002.3512525
2021-09-19T14:00:02.607Z,-USD,0000139.52,0000141.79,0000135.79,10727.78022669,0000137.26,769805.3918425
2021-09-19T15:00:02.684Z,-USD,0000140.87,0000141.46,0000135.79,10277.11823894,0000137.66,769929.01750804
2021-09-19T16:00:02.634Z,-USD,0000140.88,0000141.46,0000135.79,10090.32717922,0000137.25,770131.75736948
2021-09-19T17:00:02.62Z,-USD,0000138.76,0000141.46,0000135.79,9883.69458939,0000136.67,770385.40842948
2021-09-19T18:00:01.7Z,-USD,0000139.16,0000141.46,0000135.73,10158.7552891,0000136.21,770879.98348948
2021-09-19T19:00:01.839Z,-USD,0000139.12,0000141.46,0000135.73,10336.20988712,0000136.62,771205.91269198
2021-09-19T20:00:01.841Z,-USD,0000139.22,0000141.46,0000135.08,11012.58609601,0000135.18,772451.121811
2021-09-19T21:00:02.299Z,-USD,0000137.04,0000141.46,0000134.76,10453.65959668,00000136.1,773088.16851577
2021-09-19T22:00:02.24Z,-USD,0000136.52,0000141.46,0000134.76,10310.94519254,0000135.55,773375.92768577
2021-09-19T23:00:02.396Z,-USD,0000138.18,0000141.46,0000132.06,10653.13924679,0000132.55,773935.35622001
2021-09-20T00:00:01.696Z,-USD,0000138.63,0000141.46,0000132.06,10052.23758539,0000133.53,774251.75062023
2021-09-20T01:00:01.876Z,-USD,0000137.18,0000141.46,0000129.61,11284.80685006,0000130.54,759112.28855244
2021-09-20T02:00:02.151Z,-USD,0000138.53,0000141.46,0000129.61,10155.59262696,0000132.16,759661.97061914
2021-09-20T03:00:02.274Z,-USD,0000138.65,0000141.46,0000126.45,13673.67750797,0000126.67,763690.90394458
2021-09-20T04:00:02.153Z,-USD,0000137.77,0000141.46,0000124.73,16204.07508617,0000126.72,766359.4642006
2021-09-20T05:00:01.965Z,-USD,0000138.35,0000141.46,0000124.73,16957.37277496,0000126.96,767218.50308047
2021-09-20T06:00:01.919Z,-USD,0000139.68,0000141.46,0000124.73,17524.42536923,0000127.16,768158.30402245
2021-09-20T07:00:02.042Z,-USD,0000140.09,0000141.46,0000124.73,17561.41493102,00000126.3,768638.63827487
2021-09-20T08:00:02.121Z,-USD,00000139.9,0000141.46,0000121.45,19777.99125528,0000122.42,771076.8723514
2021-09-20T09:00:01.892Z,-USD,00000140.6,0000141.46,0000121.45,21967.51640491,0000124.96,773448.43561103
2021-09-20T10:00:01.701Z,-USD,0000140.96,0000141.46,0000121.45,22815.65438334,0000123.78,774339.88471451
2021-09-20T11:00:02.361Z,-USD,0000140.71,0000140.71,0000121.45,25302.55823488,0000122.31,777030.78034648
2021-09-20T12:00:02.361Z,-USD,0000136.02,00000138.2,0000117.15,30904.39458203,0000118.83,783030.93252139
2021-09-20T13:00:02.403Z,-USD,0000136.39,00000138.2,0000115.16,34926.78683748,0000119.03,787258.0563431
2021-09-20T14:00:02.73Z,-USD,0000137.22,00000138.2,0000115.16,35674.51359029,0000120.17,788808.82404622
2021-09-20T15:00:01.832Z,-USD,0000137.47,0000137.87,0000115.16,43012.27239607,0000120.05,796271.19815723
2021-09-20T16:00:02.357Z,-USD,00000137.6,00000137.6,0000115.16,48047.09212977,0000120.95,801551.95093237
2021-09-20T17:00:02.536Z,-USD,0000136.82,0000137.32,0000115.16,49541.82556346,00000120.5,803256.31342606
2021-09-20T18:00:02.544Z,-USD,00000136.1,0000137.32,0000115.16,50737.84465405,0000121.16,804947.80697665
2021-09-20T19:00:02.469Z,-USD,0000136.63,0000136.95,0000115.16,54325.88128585,0000118.66,808879.63497095
2021-09-20T20:00:02.434Z,-USD,0000134.86,0000136.37,0000115.16,56012.61417308,0000119.83,811815.0220772
2021-09-20T21:00:02.46Z,-USD,0000136.17,0000136.37,0000115.16,59269.21707449,0000119.63,815686.38163338
2021-09-20T22:00:02.44Z,-USD,0000136.22,0000136.37,0000115.16,60512.97166858,0000120.01,817226.23865747
2021-09-20T23:00:02.52Z,-USD,0000132.62,0000133.91,0000115.16,61417.1439849,0000118.34,818681.61240803
2021-09-21T00:00:02.956Z,-USD,0000133.56,0000133.91,0000115.16,62042.77644717,0000118.64,819636.75413482
2021-09-21T01:00:02.191Z,-USD,0000130.73,0000132.41,0000112.22,67915.40122403,0000114.37,807365.72043862
2021-09-21T02:00:01.777Z,-USD,0000132.21,0000132.21,0000112.22,70028.24572273,00000118.0,810020.54389402
2021-09-21T03:00:02.103Z,-USD,0000126.26,0000128.54,0000112.22,66607.18028762,0000118.92,810619.40746435
2021-09-21T04:00:02.34Z,-USD,0000126.25,0000127.67,0000112.22,64397.0718225,0000117.97,811083.90521525
2021-09-21T05:00:02.612Z,-USD,0000127.21,0000127.67,0000112.22,63832.27224145,00000116.5,811366.75506407
2021-09-21T06:00:02.518Z,-USD,0000127.37,0000127.59,0000112.22,63335.06031011,0000117.51,811808.92329471
2021-09-21T07:00:02.272Z,-USD,0000126.65,0000127.03,0000112.22,63419.61601717,0000117.68,812376.22826419
2021-09-21T08:00:02.419Z,-USD,0000123.33,0000126.84,0000112.22,61333.82284424,0000119.28,812746.77166779
2021-09-21T09:00:02.545Z,-USD,0000124.76,0000125.43,0000112.22,59228.59138807,0000120.19,812991.98008125
2021-09-21T10:00:02.395Z,-USD,0000123.96,0000125.43,0000112.22,58729.74369934,0000119.09,813385.190536
2021-09-21T11:00:02.6Z,-USD,0000122.49,0000124.03,0000112.22,56314.34640174,0000120.02,813662.296406
2021-09-21T12:00:02.507Z,-USD,0000118.56,0000124.03,0000112.22,50595.06595034,0000119.65,813950.65285388
2021-09-21T13:00:02.679Z,-USD,00000118.7,0000124.03,0000112.22,46940.09251484,0000119.62,814514.29985009
2021-09-21T14:00:01.857Z,-USD,0000120.14,0000124.03,0000112.22,46184.53884614,0000119.43,815308.59809451
2021-09-21T15:00:02.144Z,-USD,0000119.91,0000122.57,0000112.22,43191.70089403,0000118.37,819871.75090341
2021-09-21T16:00:02.617Z,-USD,00000120.8,0000122.26,0000112.22,39048.77443835,0000119.53,820949.30751287
2021-09-21T17:00:03.462Z,-USD,00000120.8,0000122.03,0000112.22,38160.01884196,00000116.4,821731.21524017
2021-09-21T18:00:01.824Z,-USD,0000121.38,0000121.75,0000112.22,38336.98424673,0000113.26,823601.66327553
2021-09-21T19:00:02.438Z,-USD,0000118.91,0000121.09,0000112.22,35812.62482847,0000113.46,825007.16646157
2021-09-21T20:00:02.298Z,-USD,00000119.8,0000121.09,0000112.22,34032.26684508,0000113.37,826244.68300443
2021-09-21T21:00:01.766Z,-USD,00000120.0,0000121.09,0000110.38,33186.05110791,0000111.03,829199.00390344
2021-09-21T22:00:02.225Z,-USD,0000120.21,0000121.09,0000108.22,35253.16721892,0000113.08,832814.40394854
2021-09-21T23:00:02.124Z,-USD,0000118.79,0000120.82,0000108.22,35185.12398143,0000110.05,834183.18932161
2021-09-22T00:00:02.323Z,-USD,0000118.92,0000120.82,0000108.22,34982.1086468,0000111.58,834943.65244377
2021-09-22T01:00:02.686Z,-USD,0000114.64,0000120.82,0000108.22,28828.34834025,0000112.19,799868.4296675
2021-09-22T02:00:01.838Z,-USD,0000117.75,0000120.82,0000108.22,27367.69820092,0000115.33,801053.16118357
2021-09-22T03:00:02.496Z,-USD,0000118.76,0000120.82,0000108.22,27041.65954971,0000115.09,801326.37949269
2021-09-22T04:00:01.855Z,-USD,0000117.52,0000120.82,0000108.22,26930.73523027,0000114.52,801679.23340415
2021-09-22T05:00:01.961Z,-USD,0000116.75,0000120.82,0000108.22,26867.41087893,0000114.03,801898.33362163
2021-09-22T06:00:02.356Z,-USD,0000117.13,0000120.82,0000108.22,27325.55613266,0000115.22,802798.647106
2021-09-22T07:00:02.359Z,-USD,0000117.89,0000120.82,0000108.22,27035.48927436,0000116.01,803076.60561718
2021-09-22T08:00:02.458Z,-USD,0000119.09,0000120.82,0000108.22,27378.7452666,0000117.96,803820.48461302
2021-09-22T09:00:03.657Z,-USD,0000120.32,0000120.82,0000108.22,27744.52526314,0000116.46,804402.18302302
2021-09-22T10:00:01.805Z,-USD,0000119.43,0000120.82,0000108.22,27540.46214839,0000116.73,804590.81036302
2021-09-22T11:00:02.368Z,-USD,0000120.17,0000120.82,0000108.22,27379.36330839,0000115.84,804706.10930302
2021-09-22T12:00:02.378Z,-USD,0000119.24,0000120.82,0000108.22,27479.29354828,0000114.51,805094.50303079
2021-09-22T13:00:02.638Z,-USD,00000119.7,0000120.63,0000108.22,27153.54624192,0000116.17,805364.19896064
2021-09-22T14:00:01.835Z,-USD,0000119.51,0000119.98,0000108.22,27119.20298216,0000116.68,806096.17242048
2021-09-22T15:00:01.945Z,-USD,0000118.41,0000119.98,0000108.22,22892.23206758,0000116.98,806435.49729962
2021-09-22T16:00:02.268Z,-USD,00000119.4,0000119.86,0000108.22,22523.48072103,0000118.99,807139.51310253
2021-09-22T17:00:02.156Z,-USD,0000116.59,0000119.98,0000108.22,22482.39684571,0000119.78,807885.26706451
2021-09-22T18:00:02.557Z,-USD,0000113.45,00000120.0,0000108.22,21376.42449049,0000119.12,808642.26275465
2021-09-22T19:00:02.158Z,-USD,00000113.7,0000121.22,0000108.22,20931.51188874,0000118.87,809648.13531894
2021-09-22T20:00:02.676Z,-USD,0000112.84,0000121.22,0000108.22,21059.9672192,0000120.14,810969.12567226
2021-09-22T21:00:01.933Z,-USD,0000111.31,0000121.22,0000108.22,19204.94124217,0000121.13,812073.31678424
2021-09-22T22:00:02.514Z,-USD,0000112.71,0000121.73,0000109.27,15864.23826846,0000120.59,812342.81368563
2021-09-22T23:00:02.005Z,-USD,0000110.37,0000121.73,0000109.27,14954.05174356,0000121.13,812801.9556538
2021-09-23T00:00:03.545Z,-USD,0000111.88,0000121.73,00000110.6,14544.81223235,0000121.44,813181.73394475
2021-09-23T01:00:02.49Z,-USD,0000111.94,00000121.9,0000111.72,13859.90480272,0000119.99,783137.91367964
2021-09-23T02:00:02.357Z,-USD,0000115.37,00000121.9,0000113.68,13016.19228665,0000120.78,783454.81033964
2021-09-23T03:00:02.712Z,-USD,0000114.94,00000121.9,0000113.68,13502.16563778,0000121.11,784213.35199989
2021-09-23T04:00:01.926Z,-USD,0000114.44,0000122.46,0000113.68,14049.35349269,00000122.3,785117.91172236
2021-09-23T05:00:02.221Z,-USD,0000114.29,0000122.46,0000114.27,14235.62562693,0000121.48,785525.69001124
2021-09-23T06:00:02.32Z,-USD,0000114.71,0000122.46,0000114.27,14295.68159428,0000120.63,786480.5555697
2021-09-23T07:00:03.134Z,-USD,0000116.62,0000122.46,0000114.27,14211.7514331,0000121.79,786673.2500197
2021-09-23T08:00:02.122Z,-USD,0000118.09,0000122.46,0000114.27,13543.97798675,0000121.79,786760.37793919
2021-09-23T09:00:02.3Z,-USD,0000116.63,0000122.46,0000114.27,13345.92937675,0000121.18,787133.88875919
2021-09-23T10:00:02.464Z,-USD,0000117.29,0000122.46,0000114.27,13359.8918451,0000121.06,787335.22037754
2021-09-23T11:00:05.825Z,-USD,00000116.0,0000122.46,0000114.27,15184.77658502,0000120.48,789275.42905746
2021-09-23T12:00:02.063Z,-USD,0000114.67,0000122.46,0000114.28,15269.79386541,0000118.93,789750.08392562
2021-09-23T13:00:02.551Z,-USD,0000115.72,0000122.46,0000115.59,15429.14802758,00000118.8,790182.03490764
2021-09-23T14:00:01.849Z,-USD,0000116.94,0000122.46,0000116.55,15648.81782076,0000120.98,791131.98421066
2021-09-23T15:00:02.469Z,-USD,0000117.18,0000122.46,0000117.15,16216.54943586,0000121.91,792038.2036049
2021-09-23T16:00:01.835Z,-USD,0000118.88,0000122.46,0000118.06,16627.25686644,0000120.74,793158.82683839
2021-09-23T17:00:02.388Z,-USD,0000119.79,0000122.46,0000118.06,16120.33151421,0000121.76,793390.20544814
2021-09-23T18:00:01.982Z,-USD,0000118.78,0000123.48,0000118.17,17089.01611449,0000123.02,795136.70495856
2021-09-23T19:00:01.805Z,-USD,0000119.08,0000123.48,0000118.17,16953.30691697,0000122.85,796009.51364267
2021-09-23T20:00:02.516Z,-USD,0000119.85,00000123.5,0000118.17,16412.64864176,0000123.12,796797.51044372
2021-09-23T21:00:02.25Z,-USD,0000120.41,00000123.5,0000118.17,15935.17563619,0000122.49,797402.23068985
2021-09-23T22:00:02.175Z,-USD,0000120.93,00000123.5,0000118.17,16217.1426192,0000121.77,797947.41317425
2021-09-23T23:00:01.951Z,-USD,0000121.34,00000123.5,0000118.17,16043.64772103,0000121.97,798231.01406425
2021-09-24T00:00:02.48Z,-USD,00000121.3,00000123.5,0000118.17,15987.81133139,0000122.54,798565.04113556
2021-09-24T01:00:02.228Z,-USD,0000119.51,00000123.5,0000118.17,16744.85960844,0000121.81,787336.78802163
2021-09-24T02:00:02.084Z,-USD,0000120.74,00000123.5,0000118.17,17253.4222995,0000120.88,788155.05537269
2021-09-24T03:00:01.973Z,-USD,0000120.87,00000123.5,0000118.17,16877.37820328,0000120.44,788536.55268672
2021-09-24T04:00:02.45Z,-USD,0000121.94,00000123.5,0000118.17,16424.69026249,0000120.05,788996.5378684
2021-09-24T05:00:02.206Z,-USD,0000121.34,00000123.5,0000118.17,16467.20823195,0000119.74,789441.47254674
2021-09-24T06:00:02.643Z,-USD,0000120.69,00000123.5,0000118.17,15705.85775323,0000119.67,789632.31280648
2021-09-24T07:00:02.623Z,-USD,0000121.59,00000123.5,0000118.17,16591.79842323,00000118.8,790746.23345648
2021-09-24T08:00:01.884Z,-USD,0000121.86,00000123.5,0000118.17,17129.79825108,0000120.35,791336.02975382
2021-09-24T09:00:02.126Z,-USD,0000121.29,00000123.5,0000118.17,17093.17496108,0000118.87,791675.58844382
2021-09-24T10:00:02.248Z,-USD,0000120.74,00000123.5,0000110.68,19342.68907483,0000110.68,794125.88041592
2021-09-24T11:00:02.663Z,-USD,0000120.28,00000123.5,0000108.87,20329.84755067,0000109.41,797051.50444168
2021-09-24T12:00:02.133Z,-USD,0000118.81,00000123.5,0000105.26,24418.59233996,0000109.03,801624.20297913
2021-09-24T13:00:02.817Z,-USD,00000119.0,00000123.5,0000105.26,28060.64028934,0000107.04,805718.87850053
2021-09-24T14:00:02.591Z,-USD,0000120.65,00000123.5,0000105.26,30131.08209116,0000109.29,808709.5783935
2021-09-24T15:00:02.124Z,-USD,0000121.96,00000123.5,0000105.26,31409.73782365,0000110.19,810897.2116621
2021-09-24T16:00:01.961Z,-USD,0000120.54,00000123.5,0000105.26,31210.69018589,0000109.19,811823.58664354
2021-09-24T17:00:02.316Z,-USD,0000121.98,00000123.5,0000105.26,33221.36267675,0000109.73,814059.47568844
2021-09-24T18:00:02.431Z,-USD,0000123.25,00000123.5,0000105.26,33016.52216426,0000108.72,815635.89261637
2021-09-24T19:00:02.41Z,-USD,0000122.97,00000123.5,0000105.26,32723.66161029,0000109.68,816181.33363651
2021-09-24T20:00:01.732Z,-USD,0000123.45,0000123.48,0000105.26,34009.07819736,0000109.87,818289.24090463
2021-09-24T21:00:02.101Z,-USD,0000122.45,0000123.48,0000105.26,34549.39905812,0000111.84,819397.60583152
2021-09-24T22:00:02.204Z,-USD,0000121.95,0000123.48,0000105.26,35674.86220655,0000111.23,821068.27983435
2021-09-24T23:00:01.997Z,-USD,0000121.62,0000123.48,0000105.26,35685.23676289,0000112.22,821362.07774069
2021-09-25T00:00:02.169Z,-USD,0000122.57,0000123.48,0000105.26,37270.90378896,0000110.74,823306.23021807
2021-09-25T01:00:02.578Z,-USD,00000121.9,0000122.42,0000105.26,36303.01043597,0000111.63,802660.43152032
2021-09-25T02:00:01.928Z,-USD,0000121.13,0000121.17,0000105.26,35868.93242167,0000111.21,803048.71649708
2021-09-25T03:00:01.987Z,-USD,0000120.74,0000121.05,0000105.26,35914.44313764,0000110.89,803511.40561708
2021-09-25T04:00:02.605Z,-USD,00000120.1,0000120.99,0000105.26,36581.46808919,0000111.61,804596.09908874
2021-09-25T05:00:02.68Z,-USD,0000119.72,0000120.99,0000105.26,36551.70463118,0000111.34,805011.55343064
2021-09-25T06:00:02.668Z,-USD,00000120.2,0000120.99,0000105.26,36661.37391686,0000110.31,805315.46106606
2021-09-25T07:00:01.846Z,-USD,0000119.13,0000120.99,0000105.26,35616.3957006,00000112.0,805382.4074898
2021-09-25T08:00:01.884Z,-USD,0000119.95,0000120.99,0000105.26,35069.908591,0000109.81,805442.96585754
2021-09-25T09:00:02.034Z,-USD,0000118.92,0000118.92,0000105.26,35567.7943756,0000110.06,806271.03974214
2021-09-25T10:00:01.83Z,-USD,0000110.34,00000112.8,0000105.26,33436.18175836,0000111.68,806603.814107
2021-09-25T11:00:02.586Z,-USD,0000109.41,0000112.88,0000105.26,30828.78009829,0000111.86,806902.88060269
2021-09-25T12:00:02.497Z,-USD,0000108.86,0000112.88,0000105.63,26895.28680336,0000109.98,807549.36568521
2021-09-25T13:00:02.182Z,-USD,0000107.14,0000112.88,0000105.63,22905.26721779,0000110.44,807660.8732501
2021-09-25T14:00:02.678Z,-USD,0000109.21,0000112.88,00000107.2,20327.20816865,00000110.7,808080.27889487
2021-09-25T15:00:02.678Z,-USD,00000110.1,0000112.88,00000107.2,18670.0617044,0000109.18,808589.21021922
2021-09-25T16:00:01.769Z,-USD,0000108.97,0000112.88,00000107.2,17683.11767125,0000110.18,808967.43734751
2021-09-25T17:00:02.512Z,-USD,0000109.49,0000112.88,00000107.2,16677.01853407,0000109.77,809754.84903523
2021-09-25T18:00:01.743Z,-USD,0000108.74,0000112.88,00000107.2,16315.63395789,0000109.89,810971.33003698
2021-09-25T19:00:01.831Z,-USD,0000109.44,0000112.88,00000107.2,16324.63498119,0000109.17,811524.11223042
2021-09-25T20:00:02.078Z,-USD,00000110.2,0000112.88,00000107.2,14566.41518246,0000109.75,811921.92301981
2021-09-25T21:00:02.047Z,-USD,0000111.82,0000112.88,00000107.2,13646.27862317,0000110.18,812061.92804741
2021-09-25T22:00:01.967Z,-USD,0000111.49,0000112.88,00000107.2,13157.21367553,00000109.5,813244.1648626
2021-09-25T23:00:02.555Z,-USD,0000111.99,0000112.88,00000107.2,13996.74240235,0000110.47,814385.54588576
2021-09-26T00:00:01.749Z,-USD,0000110.91,0000112.88,00000107.2,14063.99500054,00000110.9,816392.64470133
2021-09-26T01:00:01.825Z,-USD,00000111.8,0000112.88,00000107.2,17855.82384918,0000109.28,806592.80041879
2021-09-26T02:00:02.1Z,-USD,0000111.36,0000112.88,00000107.2,18014.07519304,0000108.45,807154.26624941
2021-09-26T03:00:01.99Z,-USD,0000110.68,0000112.88,00000107.2,18019.65399287,0000108.21,807644.62187924
2021-09-26T04:00:02.515Z,-USD,0000111.95,0000112.88,00000107.2,17718.41717967,00000109.6,808395.5569477
2021-09-26T05:00:01.75Z,-USD,0000111.28,0000112.88,00000107.2,18617.88259792,0000109.39,809697.01125785
2021-09-26T06:00:02.535Z,-USD,0000110.67,0000112.88,00000107.2,19020.74544007,00000110.4,810406.27993542
2021-09-26T07:00:02.664Z,-USD,0000112.33,0000112.88,00000107.2,19532.54337539,00000109.0,810982.63694448
2021-09-26T08:00:02.631Z,-USD,0000110.01,0000112.88,0000103.08,22679.99256851,0000104.63,814190.73860534
2021-09-26T09:00:02.674Z,-USD,0000109.92,0000112.88,0000102.21,23850.56133096,00000103.1,816213.44060239
2021-09-26T10:00:01.845Z,-USD,0000111.93,0000112.88,0000102.21,25031.14549701,0000108.95,817702.6458133
2021-09-26T11:00:01.798Z,-USD,0000111.84,0000111.84,0000102.21,26412.00140753,0000109.04,819382.47221951
2021-09-26T12:00:02.079Z,-USD,0000110.91,0000111.54,0000102.21,25877.27933838,00000110.3,819494.40269288
2021-09-26T13:00:02.198Z,-USD,00000110.4,0000111.81,0000102.21,26470.10692833,0000111.26,820198.73755772
2021-09-26T14:00:02.218Z,-USD,0000110.24,0000111.97,0000102.21,26606.78244825,0000111.76,820757.53585241
2021-09-26T15:00:02.375Z,-USD,0000108.66,0000113.14,0000102.21,27083.25084693,0000111.77,821756.75502544
2021-09-26T16:00:02.518Z,-USD,0000110.23,0000113.14,0000102.21,28429.14641154,0000112.09,823478.75565834
