Trends file:
Created by:		chris
Created on:\tt09/18/2021T14:31:1631989880Z
Number of trends:	20
Country:		united_states
Zulu,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,

09/18/2021T14:31:1631989881Z,Taylor Swift,Earthquake,Cry Macho,Lil Nas X,UCF football,Maryland football,Constitution Day,The Morning Show,Brooklyn 99,Haiti,FDA booster shot,Squid Game,Will Fuller,Nightmare Alley,Anthony Gonzalez,Ric Flair,Bryce Harper,Michiyo Tsujimura,Thursday Night Football,Gabby Petito found,
09/18/2021T15:00:1631991606Z,Taylor Swift,Earthquake,Cry Macho,Lil Nas X,Robert Durst,UCF football,Maryland football,Constitution Day,The Morning Show,Brooklyn 99,Haiti,FDA booster shot,Squid Game,Will Fuller,Mt. Charleston Lodge,Nightmare Alley,Ric Flair,Anthony Gonzalez,Michiyo Tsujimura,Thursday Night Football,
09/18/2021T16:00:1631995206Z,Taylor Swift,Earthquake,Cry Macho,Lil Nas X,UCF football,Constitution Day,The Morning Show,Haiti,Brooklyn 99,FDA booster shot,Squid Game,Will Fuller,Ric Flair,Nightmare Alley,Anthony Gonzalez,Bryce Harper,Michiyo Tsujimura,Thursday Night Football,Gabby Petito found,Deltarune,
09/18/2021T17:00:1631998806Z,Taylor Swift,Earthquake,Cry Macho,Lil Nas X,Robert Durst,UCF football,RSV,Constitution Day,The Morning Show,Haiti,Brooklyn 99,FDA booster shot,Squid Game,Ric Flair,Nightmare Alley,Anthony Gonzalez,Bryce Harper,Michiyo Tsujimura,Thursday Night Football,Gabby Petito found,
09/18/2021T18:00:1632002411Z,Taylor Swift,Liverpool,Earthquake,Cry Macho,Lil Nas X,UCF football,Robert Durst,Haiti,RSV,Maryland football,Constitution Day,The Morning Show,FDA booster shot,Brooklyn 99,Squid Game,Will Fuller,Ric Flair,Nightmare Alley,Anthony Gonzalez,Bryce Harper,
09/18/2021T19:00:1632006006Z,Taylor Swift,Liverpool,Earthquake,Cry Macho,Lil Nas X,UCF football,Robert Durst,Haiti,RSV,Maryland football,Constitution Day,The Morning Show,FDA booster shot,Brooklyn 99,Squid Game,Will Fuller,Ric Flair,Nightmare Alley,Anthony Gonzalez,Bryce Harper,
09/18/2021T20:00:1632009607Z,Nebraska football,Taylor Swift,Liverpool,Alabama vs Florida,Earthquake,Cry Macho,Lil Nas X,Robert Durst,UCF football,Haiti,RSV,Constitution Day,Illinois football,The Morning Show,FDA booster shot,Squid Game,General Sherman Tree,Will Fuller,Ric Flair,Nightmare Alley,
09/18/2021T22:00:1632016807Z,Nebraska football,Taylor Swift,Liverpool,Alabama vs Florida,Earthquake,Cry Macho,Lil Nas X,Robert Durst,UCF football,Haiti,RSV,Constitution Day,Illinois football,The Morning Show,FDA booster shot,Squid Game,General Sherman Tree,Will Fuller,Ric Flair,Nightmare Alley,
09/18/2021T23:00:1632020407Z,Nebraska football,Indiana football,Kentucky football,Alabama vs Florida,Taylor Swift,Colt Brennan,Miami Hurricanes,Liverpool,West Virginia football,Mizzou football,Spencer Rattler,J6 rally,Brian Laundrie,SpotemGottem,Earthquake,Cry Macho,Lil Nas X,Maryland football,UCF football,Haiti,
